estacao;data;maxima;minima;media
83967;01/01/1979;27.3;21.5;23.36
83967;02/01/1979;32.1;19.8;25.32
83967;03/01/1979;30.2;20.6;24.1
83967;04/01/1979;25.6;16.4;20.62
83967;05/01/1979;25.7;16.4;20.98
83967;06/01/1979;24.9;16.7;20.2
83967;07/01/1979;25.4;15.6;20.7
83967;08/01/1979;26.3;17.2;21.64
83967;09/01/1979;28;16.8;22.06
83967;10/01/1979;31.4;18.9;23.66
83967;11/01/1979;31.5;18;23.58
83967;12/01/1979;28.9;19.3;23.4
83967;13/01/1979;30.7;19.5;23.88
83967;14/01/1979;31.2;19.3;24.02
83967;15/01/1979;29.8;18.6;23.44
83967;16/01/1979;28.8;19.5;23.34
83967;17/01/1979;29.7;19.9;23.64
83967;18/01/1979;28.6;18.6;22.86
83967;19/01/1979;27.7;17.9;22.38
83967;20/01/1979;28.4;18.1;22.78
83967;21/01/1979;29.1;19;23.14
83967;22/01/1979;32.2;19.6;24.68
83967;23/01/1979;33.1;20.8;24.98
83967;24/01/1979;29;21.8;24.58
83967;25/01/1979;31.4;21.7;26.76
83967;26/01/1979;35.4;21.6;27.84
83967;27/01/1979;33.6;22.3;27.4
83967;28/01/1979;27.7;19.2;21.78
83967;29/01/1979;27.2;14.2;20.6
83967;30/01/1979;30.2;15.3;21.38
83967;31/01/1979;28.6;15.5;21.7
83967;01/02/1979;30.6;18.5;23.98
83967;02/02/1979;34.7;20.4;25.7
83967;03/02/1979;34.2;20.8;25.7
83967;04/02/1979;33.2;20.7;25.92
83967;05/02/1979;36.4;22.4;27.04
83967;06/02/1979;36.2;20.8;26.24
83967;07/02/1979;32.8;21.3;24.7
83967;08/02/1979;;;
83967;09/02/1979;31.2;21.5;25.18
83967;10/02/1979;35;23;27.32
83967;11/02/1979;34.4;23.4;28.1
83967;12/02/1979;28.7;22.8;24.74
83967;13/02/1979;;;
83967;14/02/1979;30.7;19;24.14
83967;15/02/1979;31.3;20.2;24.26
83967;16/02/1979;29.9;19.7;23.68
83967;17/02/1979;29.4;20.4;24.06
83967;18/02/1979;31.9;22;24.66
83967;19/02/1979;29.1;20.7;23.64
83967;20/02/1979;26.4;20.1;22.8
83967;21/02/1979;26.2;18.1;22.1
