estacao;data;maxima;minima;media
83967;01/01/1973;30.6;20.7;26.62
83967;02/01/1973;35.5;22.5;27.96
83967;03/01/1973;35.4;22.6;27.42
83967;04/01/1973;29;20.7;24.74
83967;05/01/1973;37;22.9;28.58
83967;06/01/1973;28;23.3;24.5
83967;07/01/1973;28;20.9;23.56
83967;08/01/1973;23.8;21.3;22.06
83967;09/01/1973;30.6;20;24.84
83967;10/01/1973;33.8;22.1;25.94
83967;11/01/1973;28.7;22.7;25.76
83967;12/01/1973;35.8;22.8;27.5
83967;13/01/1973;33.8;23.3;25.62
83967;14/01/1973;28.9;22.5;25.08
83967;15/01/1973;24.2;20.2;21.48
83967;16/01/1973;27.6;17.6;22.46
83967;17/01/1973;30.1;18.4;23.92
83967;18/01/1973;33;19.5;25.58
83967;19/01/1973;31.2;21.6;25.72
83967;20/01/1973;30.4;21.2;25.58
83967;21/01/1973;28.1;23.8;25.22
83967;22/01/1973;32;24;27.12
83967;23/01/1973;34.2;23;27.46
83967;24/01/1973;27;23;24.52
83967;25/01/1973;26.4;17.6;21.78
83967;26/01/1973;28;16.2;22.28
83967;27/01/1973;32.4;18.4;25.8
83967;28/01/1973;29;23.7;26.1
83967;29/01/1973;28.8;23.7;25.36
83967;30/01/1973;31;23.1;26.7
83967;31/01/1973;33.1;21.3;26.24
83967;01/02/1973;33.4;22.6;27.68
83967;02/02/1973;34.2;23;28.3
83967;03/02/1973;36.3;24.9;29.2
83967;04/02/1973;28.6;22.4;23.98
83967;05/02/1973;27.2;19.9;23.02
83967;06/02/1973;29.6;19.9;23.98
83967;07/02/1973;32.4;18.8;25.68
83967;08/02/1973;32.6;24;26.36
83967;09/02/1973;26.6;23.2;24.92
83967;10/02/1973;28.8;22.9;25.02
83967;11/02/1973;27.9;22.2;24.46
83967;12/02/1973;29.2;20.7;24.96
83967;13/02/1973;26.9;21.9;24.5
83967;14/02/1973;25;19.9;21.62
83967;15/02/1973;22.2;20;20.92
83967;16/02/1973;25.6;19.6;22.44
83967;17/02/1973;28.5;20.5;23.72
83967;18/02/1973;26.9;21.1;23.72
83967;19/02/1973;30.9;22;25.66
83967;20/02/1973;33.2;23.1;27.66
83967;21/02/1973;31.4;22.1;25.6
83967;22/02/1973;32.8;23;25.64
83967;23/02/1973;34.9;22;28.14
83967;24/02/1973;36.4;24.3;30.14
83967;25/02/1973;31.4;21.9;24.52
83967;26/02/1973;23;20.6;21.56
83967;27/02/1973;27.5;21.4;24.3
83967;28/02/1973;31.2;23.2;26.26
83967;01/03/1973;33.8;24.6;28.2
