estacao;data;maxima;minima;media
83967;20/01/1980;;;
83967;24/01/1980;;;
83967;31/01/1980;;;
83967;01/02/1980;;;
83967;02/02/1980;;;
83967;10/02/1980;;;
83967;20/02/1980;;;
83967;01/03/1980;;;
83967;02/03/1980;;;
83967;04/03/1980;;;
83967;08/03/1980;;;
83967;17/03/1980;;;
83967;11/04/1980;;;
83967;13/04/1980;;;
83967;17/04/1980;;;
83967;18/04/1980;;;
83967;25/04/1980;;;
83967;26/04/1980;;;
83967;27/04/1980;;;
83967;01/05/1980;;;
83967;07/05/1980;;;
83967;09/05/1980;;;
83967;16/05/1980;;;
83967;21/05/1980;;;
83967;28/05/1980;;;
83967;29/05/1980;;;
83967;31/05/1980;;;
83967;01/06/1980;;;
83967;03/06/1980;;;
83967;04/06/1980;;;
83967;05/06/1980;;;
83967;06/06/1980;;;
83967;07/06/1980;;;
83967;08/06/1980;;;
83967;09/06/1980;;;
83967;11/06/1980;;;
83967;13/06/1980;;;
83967;17/06/1980;;;
83967;19/06/1980;;;
83967;24/06/1980;;;
83967;25/06/1980;;;
83967;26/06/1980;;;
83967;27/06/1980;;;
83967;28/06/1980;;;
83967;29/06/1980;;;
83967;30/06/1980;;;
83967;01/07/1980;;;
83967;02/07/1980;;;
83967;03/07/1980;;;
83967;04/07/1980;;;
83967;05/07/1980;;;
83967;06/07/1980;;;
83967;07/07/1980;;;
83967;08/07/1980;;;
83967;09/07/1980;;;
83967;11/07/1980;;;
83967;12/07/1980;;;
83967;13/07/1980;;;
83967;14/07/1980;;;
83967;15/07/1980;;;
83967;16/07/1980;;;
83967;17/07/1980;;;
83967;18/07/1980;;;
83967;19/07/1980;;;
83967;20/07/1980;;;
83967;22/07/1980;;;
83967;24/07/1980;;;
83967;25/07/1980;;;
83967;26/07/1980;;;
83967;30/07/1980;;;
83967;31/07/1980;;;
83967;01/08/1980;;;
83967;02/08/1980;;;
83967;03/08/1980;;;
83967;04/08/1980;;;
83967;10/08/1980;;;
83967;11/08/1980;;;
83967;16/08/1980;;;
83967;17/08/1980;;;
83967;21/08/1980;;;
83967;22/08/1980;;;
83967;24/08/1980;;;
83967;28/08/1980;;;
83967;02/09/1980;;;
83967;04/09/1980;;;
83967;08/09/1980;;;
83967;09/09/1980;;;
83967;10/09/1980;;;
83967;11/09/1980;;;
83967;13/09/1980;;;
83967;15/09/1980;;;
83967;18/09/1980;;;
83967;19/09/1980;;;
83967;20/09/1980;;;
83967;21/09/1980;;;
83967;23/09/1980;;;
83967;28/09/1980;;;
83967;29/09/1980;;;
83967;04/10/1980;;;
83967;07/10/1980;;;
83967;19/10/1980;;;
83967;25/10/1980;;;
83967;28/10/1980;;;
83967;09/11/1980;;;
83967;10/11/1980;;;
83967;11/11/1980;;;
83967;20/11/1980;;;
83967;21/11/1980;;;
83967;30/11/1980;;;
83967;03/12/1980;;;
83967;10/12/1980;;;
83967;15/12/1980;;;
83967;16/12/1980;;;
83967;18/12/1980;;;
83967;19/12/1980;;;
83967;24/12/1980;;;
