estacao;data;maxima;minima;media
83967;01/01/1996;29.8;18.9;23.74
83967;02/01/1996;32.8;20;25.2
83967;03/01/1996;32.2;20.2;25.32
83967;04/01/1996;36.2;21;27.84
83967;05/01/1996;27.2;20.4;22.4
83967;06/01/1996;26.1;16.3;21.12
83967;07/01/1996;28.4;16.7;22.34
83967;08/01/1996;32.5;18.9;24.6
83967;09/01/1996;35;19.1;26.02
83967;10/01/1996;32.8;22.5;26.74
83967;11/01/1996;36.6;21;29.16
83967;12/01/1996;32;22.9;26.62
83967;13/01/1996;30.5;22;25.38
83967;14/01/1996;30.5;22.4;24.36
83967;15/01/1996;27.7;20;24.12
83967;16/01/1996;30;20.5;24.74
83967;17/01/1996;25.5;22.1;23
83967;18/01/1996;25.3;18.8;21.12
83967;19/01/1996;25;19.9;22.22
83967;20/01/1996;25.5;20.6;22.62
83967;21/01/1996;29.9;21.3;23.8
83967;22/01/1996;31.5;20.1;25.16
83967;23/01/1996;31.7;21.7;25.92
83967;24/01/1996;29.5;21.5;25
83967;25/01/1996;26.2;21;22.36
83967;26/01/1996;30.2;20.7;23.5
83967;27/01/1996;24.6;20.5;21.66
83967;28/01/1996;29.1;18.9;22.84
83967;29/01/1996;30.6;22.1;25.22
83967;30/01/1996;31.9;22.3;25.3
83967;31/01/1996;29.9;21.6;23.58
83967;01/02/1996;26.2;21;22.78
83967;02/02/1996;27.3;18.3;22
83967;03/02/1996;30.5;18.3;24.12
83967;04/02/1996;32.1;20.1;25.12
83967;05/02/1996;31;22.4;26.36
83967;06/02/1996;28.2;21.1;23.74
83967;07/02/1996;32.5;18.3;25.08
83967;08/02/1996;32.5;22.5;25.88
83967;09/02/1996;29.6;22.4;25.04
83967;10/02/1996;29.5;22;24.44
83967;11/02/1996;24.8;18.3;20.72
83967;12/02/1996;24.1;15.7;19
83967;13/02/1996;26.4;12.7;20.1
83967;14/02/1996;29.2;15;22.04
83967;15/02/1996;27.9;20.3;23.32
83967;16/02/1996;31;21.6;24.46
83967;17/02/1996;27.2;22;23.76
83967;18/02/1996;29.9;21.3;24.76
83967;19/02/1996;31.6;22.3;25.58
83967;20/02/1996;34.4;21.9;26.14
83967;21/02/1996;31.8;21.5;25.58
83967;22/02/1996;33;21.3;25.54
83967;23/02/1996;34.8;21.1;25.66
83967;24/02/1996;29.8;22.1;25.62
83967;25/02/1996;31.2;21.7;24.94
83967;26/02/1996;26.6;23.1;24.38
83967;27/02/1996;29.2;21.6;24.8
83967;28/02/1996;32.8;23.9;26.74
83967;29/02/1996;28.6;21.5;23.58
83967;01/03/1996;26.2;19.7;22.14
83967;02/03/1996;27.2;18.2;22.12
83967;03/03/1996;27.4;19.1;22.22
83967;04/03/1996;28;19.7;22.86
83967;05/03/1996;25.6;18.8;22.28
83967;06/03/1996;31;20.9;24.14
83967;07/03/1996;31.6;21.2;24.72
83967;08/03/1996;30.2;21.7;24.9
83967;09/03/1996;28.8;20.6;23.88
83967;10/03/1996;29.6;19.4;23.56
83967;11/03/1996;31;18.9;23.74
83967;12/03/1996;31.6;19.9;24.46
83967;13/03/1996;31.9;21.6;24.18
83967;14/03/1996;29.2;21.3;24.74
83967;15/03/1996;30;20.7;24.48
83967;16/03/1996;28.8;21.1;23.86
83967;17/03/1996;28.1;20.5;23.56
83967;18/03/1996;29.3;20.1;23.4
83967;19/03/1996;26;21.3;22.92
83967;20/03/1996;27.4;20.5;22.58
83967;21/03/1996;29.7;19.1;23.28
83967;22/03/1996;30.7;19.7;24.64
83967;23/03/1996;30.3;21.3;24.4
83967;24/03/1996;24.6;18.5;20.1
83967;25/03/1996;25.6;15.2;19.64
83967;26/03/1996;28.5;15.6;21.74
83967;27/03/1996;31.6;16.6;22.92
83967;28/03/1996;30.2;18.5;22.5
83967;29/03/1996;23.5;19.6;21.54
83967;30/03/1996;27.1;19.9;22.2
83967;31/03/1996;28.2;17.8;22.2
83967;01/04/1996;32.4;19.7;25.02
83967;02/04/1996;35.2;22.5;25.98
83967;03/04/1996;25.4;19.5;22.18
83967;04/04/1996;27.4;21.4;23.68
83967;05/04/1996;30.7;21.5;24.48
83967;06/04/1996;33.8;21;25.22
83967;07/04/1996;24.2;17;19.02
83967;08/04/1996;29;14.6;21.88
83967;09/04/1996;32.8;19;23.36
83967;10/04/1996;24.4;19.9;21.46
83967;11/04/1996;24.2;18.5;21.36
83967;12/04/1996;31;19.3;24.06
83967;13/04/1996;28;20.1;23.34
83967;14/04/1996;32.2;21.9;25.7
83967;15/04/1996;32.6;20;23.64
83967;16/04/1996;22.7;17.5;19.04
83967;17/04/1996;19.5;11.4;14.54
83967;18/04/1996;19.5;10;13.98
83967;19/04/1996;22;9.6;15.76
83967;20/04/1996;24.9;12;17.46
83967;21/04/1996;27;11.8;18.68
83967;22/04/1996;29;14.8;20.64
83967;23/04/1996;27.1;17.8;21.96
83967;24/04/1996;27.1;19.5;22.32
83967;25/04/1996;22.5;19.3;20.12
83967;26/04/1996;23.5;15.4;18.18
83967;27/04/1996;23.6;13.6;17.76
83967;28/04/1996;24.8;16.3;19.38
83967;29/04/1996;27;16.3;20.18
83967;30/04/1996;27.3;16;20.42
83967;01/05/1996;27.6;17.7;21.06
83967;02/05/1996;26;17.8;20.26
83967;03/05/1996;26.4;13.4;19.24
83967;04/05/1996;25.2;15;18.56
83967;05/05/1996;25.8;13.8;18.32
83967;06/05/1996;26.8;13.2;19.08
83967;07/05/1996;28.8;15;20.38
83967;08/05/1996;27.5;15.8;20.3
83967;09/05/1996;25.4;18;20.14
83967;10/05/1996;24.9;15.5;19
83967;11/05/1996;23.6;13.8;17.14
83967;12/05/1996;26.5;11;17.98
83967;13/05/1996;25.6;14;19.44
83967;14/05/1996;25;17.1;19.34
83967;15/05/1996;21.2;12;15.86
83967;16/05/1996;20.8;10;14.32
83967;17/05/1996;25.8;11.8;18.16
83967;18/05/1996;20.2;14.8;16.8
83967;19/05/1996;20.8;11.8;15.92
83967;20/05/1996;20.8;13.4;15.48
83967;21/05/1996;20.4;9;14.04
83967;22/05/1996;18.7;13;15.9
83967;23/05/1996;18.8;13.2;15.26
83967;24/05/1996;19;8;13.4
83967;25/05/1996;23.8;11;16.28
83967;26/05/1996;23.6;12;16.16
83967;27/05/1996;18.8;11.8;14.8
83967;28/05/1996;19.8;8.2;12.84
83967;29/05/1996;20.4;8.5;14.02
83967;30/05/1996;19.4;13;15.66
83967;31/05/1996;13.8;11.3;12.14
83967;01/06/1996;15;6.5;9.88
83967;02/06/1996;15.6;4.7;8.86
83967;03/06/1996;16.8;3.8;9.28
83967;04/06/1996;19.4;4.8;11.42
83967;05/06/1996;21.4;11.8;15.4
83967;06/06/1996;17.2;12.4;13.92
83967;07/06/1996;19.6;9.6;13.56
83967;08/06/1996;16.8;9.4;11.32
83967;09/06/1996;22.2;7.6;13.6
83967;10/06/1996;23.6;8.8;15.16
83967;11/06/1996;25.4;9.3;16.26
83967;12/06/1996;24.2;11.6;15.96
83967;13/06/1996;26.7;10;17.44
83967;14/06/1996;28;15.4;19.28
83967;15/06/1996;29;16;20.64
83967;16/06/1996;18.4;17.1;17.62
83967;17/06/1996;18;15.4;16.38
83967;18/06/1996;16.5;12.8;14.08
83967;19/06/1996;14.4;5.8;9.4
83967;20/06/1996;11.8;5;9.6
