estacao;data;maxima;minima;media
83967;01/01/1995;35.3;23;27.48
83967;02/01/1995;33.8;25.2;27.88
83967;03/01/1995;31;22.5;26.06
83967;04/01/1995;36;23.1;28.5
83967;05/01/1995;34.3;25.2;27.44
83967;06/01/1995;30;23.6;25.84
83967;07/01/1995;31.8;20.3;25.66
83967;08/01/1995;36.2;22.7;29.18
83967;09/01/1995;29.8;20;22.68
83967;10/01/1995;26;17.6;21.44
83967;11/01/1995;25.8;17;21.82
83967;12/01/1995;28.3;19.9;23.2
83967;13/01/1995;26.8;21.1;23.98
83967;14/01/1995;31.7;22.7;26.16
83967;15/01/1995;32.5;23.3;26.92
83967;16/01/1995;29.8;23.7;26.1
83967;17/01/1995;29;21.7;23.7
83967;18/01/1995;31.1;20.3;24.48
83967;19/01/1995;30;21.7;24.82
83967;20/01/1995;34.5;22;26.62
83967;21/01/1995;29.3;22;25.14
83967;22/01/1995;27;21;23.32
83967;23/01/1995;32.2;20.3;25.38
83967;24/01/1995;35.6;19.7;27.02
83967;25/01/1995;26.6;20.8;22.88
83967;26/01/1995;31;18.2;23.6
83967;27/01/1995;30.5;20;24.66
83967;28/01/1995;26.8;20.9;22.58
83967;29/01/1995;28;17.5;22.22
83967;30/01/1995;29.2;18;23.4
83967;31/01/1995;33;21;26.16
83967;01/02/1995;29.2;23.1;25.38
83967;02/02/1995;25;19.9;21.06
83967;03/02/1995;27.5;15.4;21.5
83967;04/02/1995;30.3;16.9;22.92
83967;05/02/1995;25.2;19.9;21.14
83967;06/02/1995;29;17.8;22.82
83967;07/02/1995;29;18.1;22.74
83967;08/02/1995;30.6;18.7;23.7
83967;09/02/1995;26.2;18.9;22.3
83967;10/02/1995;29;20.5;23.54
83967;11/02/1995;32.4;20.7;25.18
83967;12/02/1995;33;20.3;25.26
83967;13/02/1995;31;22;24.52
83967;14/02/1995;26.6;21.3;23.06
83967;15/02/1995;29.2;19.5;23.78
83967;16/02/1995;30;22.1;24.58
83967;17/02/1995;32;19.9;23.86
83967;18/02/1995;23.6;17.8;19.16
83967;19/02/1995;27;13;19.42
83967;20/02/1995;32;15;23.84
83967;21/02/1995;34.6;20.7;26.9
83967;22/02/1995;32.4;21.1;26.46
83967;23/02/1995;26.2;21.1;23.14
