estacao;data;maxima;minima;media
83967;01/01/1993;24.1;20.6;22.86
83967;02/01/1993;27.3;20.5;22.72
83967;03/01/1993;26;20;21.8
83967;04/01/1993;25;19.6;22.64
83967;05/01/1993;32;19.8;25.28
83967;06/01/1993;32.8;21.2;25.96
83967;07/01/1993;33.9;20;25.26
83967;08/01/1993;30.1;21.6;24.5
83967;09/01/1993;29.8;18.6;23.72
83967;10/01/1993;29.8;19;23.6
83967;11/01/1993;32.4;17.2;24.72
83967;12/01/1993;35.3;18;26.1
83967;13/01/1993;36.3;22;28.66
83967;14/01/1993;35.3;22.8;27.9
83967;15/01/1993;30.8;22;25.2
83967;16/01/1993;29.7;22.6;25.26
83967;17/01/1993;26.3;20.6;22.34
83967;18/01/1993;26.6;15.4;20.48
83967;19/01/1993;27.4;16;22.32
83967;20/01/1993;32.6;17.4;24.92
83967;21/01/1993;34.1;19.2;26
83967;22/01/1993;35.9;21.4;27.28
83967;23/01/1993;35.6;20.6;27.52
83967;24/01/1993;37.2;21;28.44
83967;25/01/1993;36.3;23;27.98
83967;26/01/1993;35;23.2;27.32
83967;27/01/1993;32.7;21.8;25.22
83967;28/01/1993;29.7;21.2;24.92
83967;29/01/1993;30.2;22.8;25.36
83967;30/01/1993;29;21.6;24.88
83967;31/01/1993;32.4;21.2;25.8
83967;01/02/1993;31.2;21.6;25.08
83967;02/02/1993;;22;
83967;03/02/1993;;20.4;
83967;04/02/1993;30;18.4;23.92
83967;05/02/1993;30.9;18;24.58
83967;06/02/1993;33.3;21.6;26.38
83967;07/02/1993;30.5;24.4;26.14
83967;08/02/1993;26.1;18.9;22
83967;09/02/1993;26.4;17.8;22.2
83967;10/02/1993;28.2;19.6;23.12
83967;11/02/1993;29.9;18.6;23.66
83967;12/02/1993;29.1;17.1;23.28
83967;13/02/1993;31.2;18.4;24.04
83967;14/02/1993;28.2;20.3;23.22
83967;15/02/1993;29.7;18.6;23.74
83967;16/02/1993;28.9;20.8;24.3
83967;17/02/1993;31.7;21.8;25.14
83967;18/02/1993;30.3;19.6;25.46
83967;19/02/1993;32.8;20;24.5
83967;20/02/1993;30.8;20;23.64
83967;21/02/1993;25;19.2;20.88
83967;22/02/1993;25.5;16.8;20.84
83967;23/02/1993;26.7;15.2;21.14
83967;24/02/1993;25.7;17;21.5
83967;25/02/1993;27.8;18.2;22.12
83967;26/02/1993;26.9;18.2;22.18
83967;27/02/1993;31.1;18.5;24.32
83967;28/02/1993;33.5;19.4;26.22
83967;01/03/1993;32.4;21.2;25.08
83967;02/03/1993;25.2;20.6;22.28
83967;03/03/1993;26.1;17.2;20.38
83967;04/03/1993;26.2;14.2;20.56
83967;05/03/1993;26.8;18;22.38
83967;06/03/1993;24.4;19.6;21.8
83967;07/03/1993;27.2;20.6;22.72
83967;08/03/1993;24.4;19.8;21.56
83967;09/03/1993;27.9;19.2;22.38
83967;10/03/1993;28.2;16.5;21.88
83967;11/03/1993;29.8;16;22.4
83967;12/03/1993;32.8;18;24.64
83967;13/03/1993;31.9;20.5;23.96
83967;14/03/1993;29.7;19.5;23.94
83967;15/03/1993;31;20.1;24.5
83967;16/03/1993;33.2;20.3;25.84
83967;17/03/1993;29.7;22;24.98
83967;18/03/1993;27.3;22.8;24.24
83967;19/03/1993;31.9;19.3;24.2
