estacao;data;maxima;minima;media
83967;01/01/1992;30.1;21.6;25.32
83967;02/01/1992;30.9;22.4;26.1
83967;03/01/1992;30.6;23.3;25.74
83967;04/01/1992;29.4;19.8;23.9
83967;05/01/1992;28.2;18.2;22.76
83967;06/01/1992;29.4;17.8;22.96
83967;07/01/1992;30.9;19.4;24.58
83967;08/01/1992;30.9;21.8;25.26
83967;09/01/1992;32.4;21.7;26.1
83967;10/01/1992;33.7;21.8;27.12
83967;11/01/1992;28.7;22.1;24.12
83967;12/01/1992;30;16.4;22.8
83967;13/01/1992;31.2;17.5;24.56
83967;14/01/1992;33.3;19.7;25.96
83967;15/01/1992;25.2;19.1;20.7
83967;16/01/1992;25.5;15.7;19.92
83967;17/01/1992;28.4;14.4;22.04
83967;18/01/1992;31.6;16.2;24.06
83967;19/01/1992;33.1;18.8;25.26
83967;20/01/1992;35.1;20;26.38
83967;21/01/1992;33.1;20.6;25.58
83967;22/01/1992;28.7;20.3;24
83967;23/01/1992;24.4;19.8;21.94
83967;24/01/1992;26.7;20;22.84
83967;25/01/1992;30.7;21;24.14
83967;26/01/1992;31.2;21.4;25.06
83967;27/01/1992;32;20.8;24.88
83967;28/01/1992;32.7;22.2;26.46
83967;29/01/1992;32;22.8;26.98
83967;30/01/1992;32;23.2;26.76
83967;31/01/1992;31.3;22.8;25.46
83967;01/02/1992;30.2;22.4;25.6
83967;02/02/1992;32.2;23.4;26.8
83967;03/02/1992;34.4;23.6;27.48
83967;04/02/1992;33.3;22.4;26.34
83967;05/02/1992;30.1;22.6;
83967;06/02/1992;33.8;21.8;26.12
83967;07/02/1992;31.5;21.4;25.74
83967;08/02/1992;33.2;22.8;27.32
83967;09/02/1992;35.6;23.2;28.52
83967;10/02/1992;30.7;22.8;25.66
83967;11/02/1992;33.6;22.4;26.44
83967;12/02/1992;29.9;23.4;25.82
83967;13/02/1992;33.9;23;27.14
83967;14/02/1992;32.1;21.4;25.54
83967;15/02/1992;27.4;22.2;23.84
83967;16/02/1992;30;21.4;25.76
83967;17/02/1992;32.1;22.8;26.54
83967;18/02/1992;34.4;23;27.32
83967;19/02/1992;34.9;22.4;28.5
83967;20/02/1992;36.6;24.6;30.44
83967;21/02/1992;37.2;25.2;30.2
83967;22/02/1992;32.2;22.2;26.2
83967;23/02/1992;29.3;22.6;24.42
83967;24/02/1992;24;20.9;22.06
83967;25/02/1992;27.6;18;22.2
83967;26/02/1992;30.1;18.6;23.98
83967;27/02/1992;28.3;20.8;23.02
83967;28/02/1992;26.1;18.8;21.62
83967;29/02/1992;28.2;15;21.44
83967;01/03/1992;27.8;18.1;22.66
83967;02/03/1992;29.5;20;26.3
83967;03/03/1992;29.5;20.3;22.64
83967;04/03/1992;30.4;20.2;24.52
83967;05/03/1992;30.5;20.7;25.22
83967;06/03/1992;33.1;20.3;24.84
83967;07/03/1992;32.6;20;25.84
83967;08/03/1992;33.7;20.4;26.26
83967;09/03/1992;33.8;20.8;26.64
83967;10/03/1992;30.4;22.2;24.8
83967;11/03/1992;33.8;21.6;27
83967;12/03/1992;34;22;26.2
83967;13/03/1992;33.3;21.5;25.96
83967;14/03/1992;34.5;21.8;27.78
83967;15/03/1992;28.1;22;23.82
83967;16/03/1992;28.6;19.7;22.98
83967;17/03/1992;30.6;18.8;23.48
83967;18/03/1992;31.9;20.4;25.38
83967;19/03/1992;31.3;19.5;24.22
83967;20/03/1992;33;18.6;24.64
83967;21/03/1992;34.4;22.2;27.88
83967;22/03/1992;28.3;19;21.42
83967;23/03/1992;19.4;15.6;17.34
83967;24/03/1992;24.6;16.6;20.64
83967;25/03/1992;26.6;19.6;21.92
83967;26/03/1992;30.9;17.2;23.1
83967;27/03/1992;29.1;20.2;23.26
83967;28/03/1992;26.5;19.8;22.54
83967;29/03/1992;27.9;20.2;23.22
83967;30/03/1992;26.5;18.8;21.54
83967;31/03/1992;26.8;16;21.04
83967;01/04/1992;27.3;16;21.54
83967;02/04/1992;30;18.5;23.2
83967;03/04/1992;31.5;18.4;24.54
83967;04/04/1992;32.7;20.8;26.1
83967;05/04/1992;32.9;21;25.14
83967;06/04/1992;26.3;20.7;22.58
83967;07/04/1992;23.2;16;18.12
83967;08/04/1992;22.5;11.8;16.9
83967;09/04/1992;23.9;12.4;17.54
83967;10/04/1992;26.8;15;20.44
83967;11/04/1992;26.7;17.4;21.42
83967;12/04/1992;23.7;19.6;20.9
83967;13/04/1992;25;17.2;19.8
83967;14/04/1992;19.2;16.4;17.68
83967;15/04/1992;22.2;15.4;18.32
83967;16/04/1992;22.6;15.6;19.12
83967;17/04/1992;23.2;18.2;19.96
83967;18/04/1992;25.6;18.2;20.68
83967;19/04/1992;24.2;16.2;19.64
83967;20/04/1992;24.8;17.4;20.18
83967;21/04/1992;26.4;17.4;20.48
83967;22/04/1992;29.1;17.6;22.38
83967;23/04/1992;22.4;18.7;19.64
83967;24/04/1992;25.1;14.8;18.62
83967;25/04/1992;26;15.4;19.28
83967;26/04/1992;25.6;17;20.2
83967;27/04/1992;25.4;17.5;20.3
83967;28/04/1992;26;16.6;20.76
83967;29/04/1992;23.6;19;21.1
83967;30/04/1992;21.8;14;17.12
83967;01/05/1992;16.9;14.4;15.1
83967;02/05/1992;20.3;12.6;15.48
83967;03/05/1992;23.6;13.5;18.02
83967;04/05/1992;25.6;15.4;19.78
83967;05/05/1992;26;17.2;20.52
83967;06/05/1992;27.1;17.4;20.86
83967;07/05/1992;26.1;15.6;20.06
83967;08/05/1992;25.6;17.4;20.7
83967;09/05/1992;26;18.2;21.28
83967;10/05/1992;22;19.6;20.68
83967;11/05/1992;28.7;18.2;21.2
83967;12/05/1992;19.2;16.2;17.32
83967;13/05/1992;21.6;15.6;17.24
83967;14/05/1992;20;10.6;14.4
83967;15/05/1992;24.3;10;17.58
83967;16/05/1992;20.8;15.6;17.42
83967;17/05/1992;22.1;13.3;16.24
83967;18/05/1992;20.4;11.1;14.42
83967;19/05/1992;15.8;6.8;11.02
