estacao;data;maxima;minima;media
83967;01/01/1964;28.3;22.2;24.32
83967;02/01/1964;28.5;21.2;23.74
83967;03/01/1964;30.2;17.2;23
83967;04/01/1964;33.1;17.8;24.36
83967;05/01/1964;35.2;17.3;25.3
83967;06/01/1964;35.5;20.4;26.82
83967;07/01/1964;31.7;22.1;27.18
83967;08/01/1964;31.8;23.7;25.76
83967;09/01/1964;27.3;18.3;22.76
83967;10/01/1964;26.7;19.2;22.18
83967;11/01/1964;31.3;19.3;24.34
83967;12/01/1964;31.9;20.5;24.88
83967;13/01/1964;28.2;20.1;23.48
83967;14/01/1964;28.4;18.5;22.88
83967;15/01/1964;32.1;17;24.14
83967;16/01/1964;29.4;21.1;24.84
83967;17/01/1964;26.5;20.4;22.5
83967;18/01/1964;26.7;16.1;21.22
83967;19/01/1964;30.8;19;23.6
83967;20/01/1964;34.5;18.9;25.9
83967;21/01/1964;29.2;21.7;24.56
83967;22/01/1964;29.2;19;23.2
83967;23/01/1964;32.6;19.1;24.82
83967;24/01/1964;34.4;20.1;25.52
83967;25/01/1964;36.9;20.5;27.2
83967;26/01/1964;39.1;20.9;29.72
83967;27/01/1964;30.4;22.7;24.94
83967;28/01/1964;28.4;19.3;23.38
83967;29/01/1964;31.4;20.7;24.74
83967;30/01/1964;25.6;21.7;23.82
83967;31/01/1964;31.4;21.7;26.9
83967;01/02/1964;33.8;23.7;26.54
83967;02/02/1964;28.3;22.5;24.38
83967;03/02/1964;27.8;19.7;23
83967;04/02/1964;30;18.3;23.42
83967;05/02/1964;34.1;20.1;25.88
83967;06/02/1964;35.4;23;28.88
83967;07/02/1964;32.6;23.8;26.42
83967;08/02/1964;24.9;22;23.22
83967;09/02/1964;26.9;18.6;22.22
83967;10/02/1964;30.7;20.2;25.12
83967;11/02/1964;26.3;23.3;24.4
83967;12/02/1964;27.2;21.5;23.86
83967;13/02/1964;34.1;22.3;27.72
83967;14/02/1964;34.9;24;29.34
83967;15/02/1964;30.4;23.2;24.68
83967;16/02/1964;23.3;19.8;21.28
83967;17/02/1964;27;20.8;23.4
83967;18/02/1964;24.7;20.2;21.5
83967;19/02/1964;25.6;15;20.56
83967;20/02/1964;24.9;15.6;20.46
83967;21/02/1964;27;16.4;21.72
83967;22/02/1964;28.4;16.9;22.66
83967;23/02/1964;27.5;18.9;22.38
83967;24/02/1964;25.8;18.6;22.44
83967;25/02/1964;28.7;18.8;22.78
83967;26/02/1964;30.4;20.3;24.06
83967;27/02/1964;34.7;19.8;26.62
83967;28/02/1964;35.9;22;28.5
83967;29/02/1964;36.7;23.6;28.18
83967;01/03/1964;27;22.4;24.64
83967;02/03/1964;32.4;22.6;26.24
83967;03/03/1964;35.1;23;28.66
83967;04/03/1964;36.3;24.2;27.96
83967;05/03/1964;26;22.7;23.7
83967;06/03/1964;22.9;18.3;19.92
83967;07/03/1964;25.3;18.3;21.44
83967;08/03/1964;28.5;19.5;23.18
83967;09/03/1964;30.8;19.1;24.58
83967;10/03/1964;34.3;20.8;27.54
83967;11/03/1964;34.6;22.6;27.76
83967;12/03/1964;32;23.8;26.8
83967;13/03/1964;29.8;23.2;25.04
83967;14/03/1964;25.2;20.8;22.12
83967;15/03/1964;26;15.3;20.54
83967;16/03/1964;24;16.7;19.14
83967;17/03/1964;24.6;12.8;18.56
