estacao;data;maxima;minima;media
83967;01/01/1965;33;18.5;25.8
83967;02/01/1965;34.7;20.1;26.96
83967;03/01/1965;27.4;19.9;23.44
83967;04/01/1965;23.8;17.4;20.32
83967;05/01/1965;27.2;12.7;20
83967;06/01/1965;31.7;16.6;23.82
83967;07/01/1965;32.7;20.8;24.04
83967;08/01/1965;24.3;19.2;21
83967;09/01/1965;24;15.1;18.94
83967;10/01/1965;29.2;13.4;21.08
83967;11/01/1965;32.8;17.2;25.16
83967;12/01/1965;35.3;19.6;26.7
83967;13/01/1965;30.2;21.9;24.7
83967;14/01/1965;33.9;21.8;26.88
83967;15/01/1965;34.5;23.1;26.76
83967;16/01/1965;27.3;23.1;25.64
83967;17/01/1965;33.5;23.3;27.38
83967;18/01/1965;27.2;23.8;24.76
83967;19/01/1965;27.4;19.4;23.16
83967;20/01/1965;28.2;18.8;23.08
83967;21/01/1965;32.9;19.4;25.74
83967;22/01/1965;29.9;21.8;25.46
83967;23/01/1965;29.6;21.7;25.14
83967;24/01/1965;30.4;22.1;24.88
83967;25/01/1965;32.7;21.6;26.26
83967;26/01/1965;32;20.6;25.68
83967;27/01/1965;30.7;22.8;25.66
83967;28/01/1965;29;21.4;24.28
83967;29/01/1965;30.5;20.8;24.66
83967;30/01/1965;30.7;19.4;24.9
83967;31/01/1965;34.2;19.1;26.3
83967;01/02/1965;34.4;22.2;27.68
83967;02/02/1965;28.6;22.2;24.8
83967;03/02/1965;30.4;22.2;25.48
83967;04/02/1965;30.8;22.5;24.88
83967;05/02/1965;29.5;20.5;24.04
83967;06/02/1965;33.2;17.7;24.14
83967;07/02/1965;27.7;19.5;23.08
83967;08/02/1965;27.5;19.3;23.16
83967;09/02/1965;30.3;18.4;23.98
83967;10/02/1965;31;17.1;23.58
83967;11/02/1965;34.3;19.2;26.16
83967;12/02/1965;26;21.2;23.16
83967;13/02/1965;30.6;21.2;26.76
83967;14/02/1965;29.8;21;24.36
83967;15/02/1965;32.8;18.6;25.12
83967;16/02/1965;30.5;23.2;26.16
83967;17/02/1965;32.5;21.9;25.68
83967;18/02/1965;34.8;19.8;26.12
83967;19/02/1965;33.2;20.6;25.96
83967;20/02/1965;35.8;20.8;27.88
83967;21/02/1965;36.6;24.3;29.14
83967;22/02/1965;35.8;21.6;27.44
83967;23/02/1965;31.8;24.3;26.9
83967;24/02/1965;32.2;22.9;26.02
83967;25/02/1965;32.9;21.7;26.12
83967;26/02/1965;31;22.6;26.32
83967;27/02/1965;31.3;23.1;25.36
83967;28/02/1965;30.6;22.4;25.4
83967;01/03/1965;31.5;20.5;24.6
83967;02/03/1965;24.5;21.7;22.52
83967;03/03/1965;24.4;18.4;20.6
83967;04/03/1965;29.2;15.5;21.86
83967;05/03/1965;32.3;19;25.52
83967;06/03/1965;27;21.3;22.78
83967;07/03/1965;31.8;17.9;24.1
83967;08/03/1965;30.3;20.7;23.88
83967;09/03/1965;22.8;16.6;18.32
83967;10/03/1965;22;15.7;18.54
83967;11/03/1965;24.2;15.1;19.18
83967;12/03/1965;26.8;13.4;20.04
83967;13/03/1965;29.8;16;21.68
83967;14/03/1965;29.7;16.8;22.06
83967;15/03/1965;31.7;18.7;24.88
83967;16/03/1965;32.9;19;25.02
83967;17/03/1965;26.3;21.5;22.92
83967;18/03/1965;22.5;19.1;20.58
83967;19/03/1965;23.8;14.8;18.44
83967;20/03/1965;24.7;11.7;17.92
83967;21/03/1965;25.5;15;20.2
83967;22/03/1965;27.3;18.6;22.26
83967;23/03/1965;22.4;18.1;19.46
83967;24/03/1965;19.4;17.4;18.26
83967;25/03/1965;25.7;17.8;20.78
83967;26/03/1965;23.7;18.6;19.98
83967;27/03/1965;24.3;18.3;20.76
83967;28/03/1965;21.7;16;18.18
83967;29/03/1965;24.4;17.5;20.48
83967;30/03/1965;26.7;18.4;21.54
83967;31/03/1965;25.5;17.4;20.52
83967;01/04/1965;24.8;15.6;19.5
83967;02/04/1965;26.8;15;20.22
83967;03/04/1965;29.6;15.6;22.24
83967;04/04/1965;30.6;17.7;23.6
83967;05/04/1965;22.5;19;20.28
83967;06/04/1965;29.8;17.2;23.24
83967;07/04/1965;31;17.7;24.1
83967;08/04/1965;28.8;22;24.08
83967;09/04/1965;21.3;18.1;19.64
83967;10/04/1965;24.7;18.9;20.68
83967;11/04/1965;25.7;15.8;19.84
83967;12/04/1965;21.3;18.2;19.34
83967;13/04/1965;21.6;17.7;19.7
83967;14/04/1965;24.7;19.7;21.78
83967;15/04/1965;27.7;18.8;22.02
83967;16/04/1965;27;18.5;22.1
83967;17/04/1965;31.6;19.4;22.52
83967;18/04/1965;21.3;15.2;16.74
83967;19/04/1965;21.4;10.1;15.58
83967;20/04/1965;24.7;12.7;18.58
83967;21/04/1965;24.8;15.8;18.72
83967;22/04/1965;23.8;12;17.64
83967;23/04/1965;27;13.3;19.58
83967;24/04/1965;24.4;18.5;20.46
83967;25/04/1965;21;16.8;19.16
83967;26/04/1965;21.2;16.7;17.76
83967;27/04/1965;20.6;11.4;14.84
83967;28/04/1965;17.6;10.9;14.72
83967;29/04/1965;18.7;11;15.12
83967;30/04/1965;21.3;12.1;16.64
83967;01/05/1965;21.2;16.4;18.16
83967;02/05/1965;23.6;16.2;18.88
83967;03/05/1965;25.4;14.8;19.22
83967;04/05/1965;24.9;13.5;18.44
83967;05/05/1965;25.4;15;19.6
83967;06/05/1965;21.3;17.6;19.58
83967;07/05/1965;20.3;16.3;17.64
83967;08/05/1965;20.8;15.5;18.24
83967;09/05/1965;24.9;17.4;20.64
83967;10/05/1965;21.2;16.8;18.16
83967;11/05/1965;19.5;11.4;14.5
83967;12/05/1965;23;10.3;16.58
83967;13/05/1965;24.3;14.3;18.48
83967;14/05/1965;21.2;15.8;17.6
83967;15/05/1965;18.2;11;12.5
83967;16/05/1965;16.5;8;11.34
83967;17/05/1965;15.4;7;10.4
83967;18/05/1965;15.8;6.6;10.52
83967;19/05/1965;15.9;7;10.7
83967;20/05/1965;21.8;8.4;15.2
83967;21/05/1965;18;11.2;12.78
83967;22/05/1965;13.7;10.2;12.3
83967;23/05/1965;16.5;8.2;10.96
83967;24/05/1965;16.7;5.4;9.74
83967;25/05/1965;19.4;6.2;11.44
83967;26/05/1965;22.8;8.4;14.56
83967;27/05/1965;16.7;14.2;14.78
83967;28/05/1965;22.8;13.6;18.24
83967;29/05/1965;28;13;18.72
83967;30/05/1965;28.2;12.1;19.54
83967;31/05/1965;25.7;14.8;19.6
83967;01/06/1965;26.7;16;20.18
83967;02/06/1965;20.2;14.6;16.12
83967;03/06/1965;15.3;13.6;14.42
83967;04/06/1965;15.4;11.8;12.96
83967;05/06/1965;17.4;8.7;12.82
83967;06/06/1965;23.3;9.9;15.86
83967;07/06/1965;23.6;13.1;17.86
83967;08/06/1965;19;16.4;17.18
83967;09/06/1965;16.8;14.6;15.2
83967;10/06/1965;16.6;14.6;15.32
83967;11/06/1965;15.5;12.6;13.82
83967;12/06/1965;16.7;10.8;12.38
83967;13/06/1965;17.8;8.4;12.92
83967;14/06/1965;18.9;10.6;14.78
83967;15/06/1965;17.7;13.2;15.74
83967;16/06/1965;20.9;14.8;16.56
83967;17/06/1965;24.8;13.4;17.12
83967;18/06/1965;23;11.3;15.64
83967;19/06/1965;23.7;11.2;15.66
83967;20/06/1965;23.4;11;15.64
83967;21/06/1965;24.5;11.1;16.68
83967;22/06/1965;27.8;11.6;18.28
83967;23/06/1965;24.7;15.1;18.6
83967;24/06/1965;24.8;12.8;16.84
83967;25/06/1965;23.1;14.3;17.24
83967;26/06/1965;23.5;14.8;18.26
83967;27/06/1965;24.6;13;17.24
83967;28/06/1965;25.3;12.5;18.08
83967;29/06/1965;26.7;14.3;19.26
