estacao;data;maxima;minima;media
83967;01/01/1963;32.3;22.3;25.88
83967;02/01/1963;37.5;21.8;27.8
83967;03/01/1963;27.5;22.6;24.18
83967;04/01/1963;32.6;21;26.48
83967;05/01/1963;31.5;22.8;26.62
83967;06/01/1963;37;23.8;28.12
83967;07/01/1963;35.7;22.8;28.08
83967;08/01/1963;32.2;24.8;26.88
83967;09/01/1963;33.8;24.4;27.92
83967;10/01/1963;26.9;21.7;23.44
83967;11/01/1963;24.7;20.6;22.42
83967;12/01/1963;22.4;20.7;21.9
83967;13/01/1963;32.3;21.8;25.42
83967;14/01/1963;28.2;22.8;24.28
83967;15/01/1963;28.8;20.4;24.2
83967;16/01/1963;28.8;19.3;23.86
83967;17/01/1963;27.2;18;22.44
83967;18/01/1963;28.4;17.5;22.86
83967;19/01/1963;29.1;19.8;23.76
83967;20/01/1963;33.2;19.4;25.56
83967;21/01/1963;32.8;21.9;24.66
83967;22/01/1963;28.8;21.7;24.7
83967;23/01/1963;29.7;18.5;23.1
83967;24/01/1963;30.6;18.5;24.92
83967;25/01/1963;34.2;21.6;27.04
83967;26/01/1963;36.9;21.6;28.2
83967;27/01/1963;28.7;22.6;25.82
83967;28/01/1963;26.4;22.9;24.1
83967;29/01/1963;25.4;22.3;23.38
83967;30/01/1963;24.4;21.4;22.6
83967;31/01/1963;25.2;21.2;22.84
83967;01/02/1963;25.2;21;22.8
83967;02/02/1963;28.8;20.3;24.68
83967;03/02/1963;32.3;21.9;25.9
83967;04/02/1963;31.2;22.8;26.08
83967;05/02/1963;28.4;23.1;25.02
83967;06/02/1963;26.8;20.5;22.98
83967;07/02/1963;27.2;17.7;21.94
83967;08/02/1963;28.2;18.5;22.66
83967;09/02/1963;30.8;18;23.92
83967;10/02/1963;32.3;20.3;25.32
83967;11/02/1963;33.8;20.2;26.52
83967;12/02/1963;33.5;21.6;27.02
83967;13/02/1963;34.1;22;26.7
83967;14/02/1963;33.4;22.4;26.96
83967;15/02/1963;34.3;23.2;27.58
83967;16/02/1963;35.4;23.6;28.04
83967;17/02/1963;37.4;23.8;29.52
83967;18/02/1963;34.7;26;28.38
83967;19/02/1963;27.4;22.6;24
83967;20/02/1963;28.8;21.2;24.44
83967;21/02/1963;25.9;21;22.5
83967;22/02/1963;29.1;17.4;23.02
83967;23/02/1963;30.5;19.4;24.26
83967;24/02/1963;29.1;21.6;24.5
83967;25/02/1963;23.6;20.4;21.24
83967;26/02/1963;28.8;20;23.92
83967;27/02/1963;31.6;22.2;25
83967;28/02/1963;29.5;22.2;25.42
83967;01/03/1963;30.2;23.8;25.64
83967;02/03/1963;28.4;20.2;23.42
83967;03/03/1963;31.4;18.2;24.12
83967;04/03/1963;32.1;19.6;24.66
83967;05/03/1963;34.3;20.6;26.22
83967;06/03/1963;35.2;23.6;29.24
83967;07/03/1963;35.3;25.3;28.72
83967;08/03/1963;28.4;23.3;24.42
83967;09/03/1963;23.4;21.2;21.96
83967;10/03/1963;27.8;20;22.96
83967;11/03/1963;33;20.3;26.04
83967;12/03/1963;33.6;22.7;28.06
83967;13/03/1963;31.2;23.6;25.88
83967;14/03/1963;29.9;20.5;23.88
83967;15/03/1963;31.8;19;23.92
83967;16/03/1963;35.7;21;25.62
83967;17/03/1963;33.2;22.6;26.52
83967;18/03/1963;36.3;23;26.78
83967;19/03/1963;29.6;22.8;24.74
83967;20/03/1963;29.1;22;25.14
83967;21/03/1963;26.4;22.7;23.7
83967;22/03/1963;24.3;21.2;22.62
83967;23/03/1963;28.3;19.7;23.12
83967;24/03/1963;30.2;18.4;23.42
83967;25/03/1963;30.3;19.4;24.02
83967;26/03/1963;29.2;19.6;23.52
83967;27/03/1963;24.1;17.7;19.64
83967;28/03/1963;22.2;14.1;17.44
83967;29/03/1963;24.9;13.7;19.18
83967;30/03/1963;28.7;17;22.32
83967;31/03/1963;31.6;18.4;24.1
83967;01/04/1963;34.2;20.3;24.06
83967;02/04/1963;22.6;18.8;20.3
83967;03/04/1963;24.7;18.9;21.44
83967;04/04/1963;28;20.2;23.48
83967;05/04/1963;30.6;20.7;24.32
83967;06/04/1963;28.7;20.4;23.38
83967;07/04/1963;29.4;18.8;23.22
83967;08/04/1963;29;18.9;22.7
83967;09/04/1963;24.3;19.3;20.66
83967;10/04/1963;23.7;16.3;18.78
83967;11/04/1963;24.3;13.5;18.16
83967;12/04/1963;24.2;16.2;19.12
83967;13/04/1963;24.9;13.2;18.38
83967;14/04/1963;29.9;14;21.18
83967;15/04/1963;22.6;18.6;20.52
83967;16/04/1963;22.1;16.7;18.32
83967;17/04/1963;22.8;11.3;16.26
83967;18/04/1963;22.4;12;16.76
83967;19/04/1963;22.8;12.9;16.64
83967;20/04/1963;24.2;10.9;16.5
83967;21/04/1963;28;10.9;18.5
83967;22/04/1963;29;12;19.14
83967;23/04/1963;32.7;12.8;21.02
83967;24/04/1963;30.6;14.4;20.88
83967;25/04/1963;30.8;14.8;21.12
83967;26/04/1963;30.5;14.9;20.88
83967;27/04/1963;30.9;15.4;21.9
83967;28/04/1963;26.2;20.2;22.08
83967;29/04/1963;26.8;18.2;21.4
83967;30/04/1963;27.8;17.4;21.32
83967;01/05/1963;27.2;18.8;21.28
83967;02/05/1963;26.2;16.8;20.28
83967;03/05/1963;20.3;16.1;17.16
83967;04/05/1963;18.2;10.2;12.64
83967;05/05/1963;19.6;6.9;11.9
83967;06/05/1963;20.8;7.5;12.94
83967;07/05/1963;22.3;8;14.02
83967;08/05/1963;25.2;9.4;15.28
83967;09/05/1963;21.3;12.6;17.1
83967;10/05/1963;25.8;15.7;19.88
83967;11/05/1963;22.3;17.3;19.06
83967;12/05/1963;22.8;17.9;19.86
83967;13/05/1963;27.8;17.6;21.76
83967;14/05/1963;22.5;19.4;20.58
83967;15/05/1963;20.4;15.6;16.88
83967;16/05/1963;18.4;10.2;13.48
83967;17/05/1963;18;8.8;12.56
83967;18/05/1963;20.5;8.2;13.62
83967;19/05/1963;23.2;8.7;14.76
83967;20/05/1963;25.6;11.1;17.42
83967;21/05/1963;24.8;14.4;18.64
83967;22/05/1963;27;14;18.8
83967;23/05/1963;28;14.6;19.68
83967;24/05/1963;19.7;16.6;17.46
83967;25/05/1963;22.4;15.4;17.72
83967;26/05/1963;25.9;12.7;18.06
83967;27/05/1963;27;15;20.12
83967;28/05/1963;26.7;15.5;19.12
83967;29/05/1963;25;14;18.44
83967;30/05/1963;21;14.6;17.64
83967;31/05/1963;19.5;12.8;15.72
83967;01/06/1963;22;11.6;16
83967;02/06/1963;23.8;11;15.98
83967;03/06/1963;23.1;10.9;15.88
83967;04/06/1963;23.4;10.6;16.88
83967;05/06/1963;22.8;16.4;18.76
83967;06/06/1963;19.2;13.8;15.68
83967;07/06/1963;26;11.8;18.5
83967;08/06/1963;26.3;14.5;18.52
83967;09/06/1963;18.9;16.9;17.64
83967;10/06/1963;20.9;15.2;17.7
83967;11/06/1963;19.3;14.9;16.66
83967;12/06/1963;15.8;8.6;11.48
83967;13/06/1963;14.8;5.3;8.92
83967;14/06/1963;17.6;4.6;11.68
83967;15/06/1963;17.9;13;16.3
83967;16/06/1963;17.9;12.3;13.9
83967;17/06/1963;12.3;9;10.38
83967;18/06/1963;14.7;8.6;10
83967;19/06/1963;14.1;4.4;9.42
83967;20/06/1963;13.6;5.3;9.7
83967;21/06/1963;12.3;9.4;10.9
83967;22/06/1963;17.7;8.6;12.46
83967;23/06/1963;21.8;10.2;15.04
83967;24/06/1963;22.8;9.2;14.76
83967;25/06/1963;24.6;8.6;14.72
83967;26/06/1963;27.1;9.7;17.36
83967;27/06/1963;26.4;9.8;17.66
83967;28/06/1963;28.9;11.6;19.7
83967;29/06/1963;28.5;13.3;19.24
83967;30/06/1963;22.4;16.7;18.42
83967;01/07/1963;17.6;14.1;15.1
83967;02/07/1963;16.2;14;14.9
83967;03/07/1963;16.9;14.6;15.46
83967;04/07/1963;19.9;11.6;15.46
83967;05/07/1963;21.7;14;16.86
83967;06/07/1963;23.7;12.4;16.7
83967;07/07/1963;24.1;11.2;15.9
83967;08/07/1963;20.2;12.2;15.72
83967;09/07/1963;26.3;14.1;19.1
83967;10/07/1963;24.5;16.2;19.38
83967;11/07/1963;26;15.5;19.46
83967;12/07/1963;27;15.9;19.64
83967;13/07/1963;23.7;16;18.36
83967;14/07/1963;23.7;16.1;19.1
83967;15/07/1963;24.4;15.2;18.16
83967;16/07/1963;17.5;8.1;10.64
83967;17/07/1963;15;6.5;11.08
83967;18/07/1963;17.7;7.8;11.7
83967;19/07/1963;22;5.7;13.76
83967;20/07/1963;24.2;14.4;18.44
83967;21/07/1963;18.4;9.7;12.02
83967;22/07/1963;12.8;8.4;9.56
83967;23/07/1963;12.8;4;7.28
83967;24/07/1963;17.4;2.6;9.24
83967;25/07/1963;20;3.8;10.76
83967;26/07/1963;22.6;6.8;14.48
83967;27/07/1963;23.7;9.4;15.62
83967;28/07/1963;26.7;13.3;18.14
83967;29/07/1963;27.7;12.1;18.68
83967;30/07/1963;28.3;13.4;18.9
83967;31/07/1963;28.6;15.4;18.4
83967;01/08/1963;17.3;12.6;14.98
83967;02/08/1963;22.2;15;17.92
83967;03/08/1963;27.1;15.6;20.5
83967;04/08/1963;21.6;10.2;12.96
83967;05/08/1963;10.5;5.5;7.56
83967;06/08/1963;11.8;2.2;5.88
83967;07/08/1963;16.6;2.6;8.52
83967;08/08/1963;13.8;6.6;11.12
83967;09/08/1963;18.2;11.3;13.06
83967;10/08/1963;19.1;10.8;15.1
83967;11/08/1963;17.4;13.3;15.26
83967;12/08/1963;15.1;11.4;13.06
83967;13/08/1963;17.9;6.4;11.58
83967;14/08/1963;16.3;10.2;13.22
83967;15/08/1963;16.3;12.3;13.54
83967;16/08/1963;12.5;9.2;10.22
83967;17/08/1963;18.3;6.8;12.22
83967;18/08/1963;22.8;11.3;15.92
83967;19/08/1963;16.7;11.4;14.38
83967;20/08/1963;20.8;13.4;16.88
83967;21/08/1963;18;16.7;17.34
83967;22/08/1963;24.5;15.4;18.32
83967;23/08/1963;21.2;12.6;15.34
83967;24/08/1963;19.1;13.2;16.58
83967;25/08/1963;18.9;11.7;14.54
83967;26/08/1963;22;12.3;16.26
83967;27/08/1963;27.5;13.8;19.78
