estacao;data;maxima;minima;media
83967;01/01/1968;34.7;25.4;27.86
83967;02/01/1968;26.6;21.4;22.88
83967;03/01/1968;26.3;16.2;20.46
83967;04/01/1968;28.5;14.8;21.5
83967;05/01/1968;29.5;15.6;22.3
83967;06/01/1968;29.3;16;22.4
83967;07/01/1968;31.9;19.4;24.34
83967;08/01/1968;34.7;20.5;26.6
83967;09/01/1968;35.8;22.2;28.32
83967;10/01/1968;34;23;25.92
83967;11/01/1968;30.5;21.8;24.46
83967;12/01/1968;33.6;20.8;23.94
83967;13/01/1968;33.3;17.4;26.5
83967;14/01/1968;29.4;18.6;22.72
83967;15/01/1968;33.6;18.7;25.82
83967;16/01/1968;28.5;22.3;25
83967;17/01/1968;32.8;21.7;26.7
83967;18/01/1968;33.4;19.8;25.72
83967;19/01/1968;31.4;20.1;25.38
83967;20/01/1968;34.4;23;26.18
83967;21/01/1968;27.8;21.8;24.36
83967;22/01/1968;26.3;19.8;22.42
83967;23/01/1968;26.2;18;21.88
83967;24/01/1968;27.3;19.3;22.84
83967;25/01/1968;30.7;21.8;25.5
83967;26/01/1968;30.5;22.6;26.62
83967;27/01/1968;33.7;23.2;27.26
83967;28/01/1968;34.8;23;27.32
83967;29/01/1968;28.5;23.3;25.32
83967;30/01/1968;25.3;21.6;23.02
83967;31/01/1968;26.4;18.2;22
83967;01/02/1968;27.6;18.8;22.56
83967;02/02/1968;29.5;17.6;22.88
83967;03/02/1968;31.8;18.4;24.36
83967;04/02/1968;32.9;20.2;25.26
83967;05/02/1968;35.1;19.9;26.36
83967;06/02/1968;37.3;20.8;28.32
83967;07/02/1968;33.1;21.8;27.02
83967;08/02/1968;35.3;21.2;27.5
83967;09/02/1968;36.8;21.8;28.8
83967;10/02/1968;33.4;23.6;27.24
83967;11/02/1968;29.8;23.5;27.02
83967;12/02/1968;27.8;21.2;22.88
83967;13/02/1968;29.2;20.6;23.96
83967;14/02/1968;31.2;19.8;23.84
83967;15/02/1968;28.9;16.8;22.54
83967;16/02/1968;29.4;17.2;23.18
83967;17/02/1968;31.5;18.2;24.14
83967;18/02/1968;33.4;18.3;25.26
83967;19/02/1968;33.5;19;24.84
83967;20/02/1968;33.1;19.2;25.14
83967;21/02/1968;33.6;20.4;26.2
83967;22/02/1968;33.6;21;25.48
83967;23/02/1968;24;20;21.64
83967;24/02/1968;24.7;15.3;20.1
83967;25/02/1968;27.4;15.2;20.92
83967;26/02/1968;28;16.4;22.16
83967;27/02/1968;31.4;17.2;23.9
