estacao;data;maxima;minima;media
83967;01/01/1984;33.1;24;27.3
83967;02/01/1984;32.2;22.7;25.62
83967;03/01/1984;27.2;21.8;24.8
83967;04/01/1984;31;22.8;25.88
83967;05/01/1984;32.9;21.8;27.46
83967;06/01/1984;32.2;23;26.96
83967;07/01/1984;37.3;24.2;30.22
83967;08/01/1984;37.1;25.6;30.04
83967;09/01/1984;37.2;24.8;30.36
83967;10/01/1984;30.5;24.5;27.04
83967;11/01/1984;29.6;23.6;25.72
83967;12/01/1984;32.9;24.2;26.94
83967;13/01/1984;35.1;24.2;27.86
83967;14/01/1984;30;22.8;25.54
83967;15/01/1984;29;23;24.64
83967;16/01/1984;27.7;22.4;24.68
83967;17/01/1984;32.2;21.4;26.08
83967;18/01/1984;30.9;21.8;25.44
83967;19/01/1984;26.4;21.8;23.08
83967;20/01/1984;26;21.6;22.78
83967;21/01/1984;26;18.2;22.44
83967;22/01/1984;27.5;19.8;23.5
83967;23/01/1984;30;18.6;23.96
83967;24/01/1984;30.1;18.9;24.16
83967;25/01/1984;31.4;19.9;25.1
83967;26/01/1984;30.1;20.6;25.18
83967;27/01/1984;32.3;21.9;26.88
83967;28/01/1984;33.1;24.1;27.18
83967;29/01/1984;32.4;23.2;26.2
83967;30/01/1984;32.7;20.5;25.94
83967;31/01/1984;27.4;22.3;24.7
83967;01/02/1984;26.8;22.1;23.46
83967;02/02/1984;29.3;21.5;24.06
83967;03/02/1984;32.3;21.7;24.36
83967;04/02/1984;37.9;21.3;30
83967;05/02/1984;31.4;20;23.5
83967;06/02/1984;26.5;17.3;20.7
83967;07/02/1984;26.1;14.4;20.78
83967;08/02/1984;31.4;18.9;24.72
83967;09/02/1984;34.1;21.7;27.26
83967;10/02/1984;34;21.4;27.58
83967;11/02/1984;36.2;24.6;29.66
83967;12/02/1984;37.2;26;29.56
83967;13/02/1984;36.8;22.8;29.42
83967;14/02/1984;37.8;24.5;29.06
83967;15/02/1984;36.9;24.2;28.78
83967;16/02/1984;31.6;25;27.4
83967;17/02/1984;28.4;24.2;25.62
83967;18/02/1984;32.3;22.9;26.32
83967;19/02/1984;34;23.8;27.68
83967;20/02/1984;35.9;23.9;27.84
83967;21/02/1984;35.9;23.7;28.42
83967;22/02/1984;37.2;23.5;28.42
83967;23/02/1984;33.3;24.8;27.76
83967;24/02/1984;36.2;23.4;27.56
83967;25/02/1984;35.3;23.4;28.76
83967;26/02/1984;31.7;24.2;27.54
83967;27/02/1984;32.2;24.1;27.34
83967;28/02/1984;35;23.2;28.88
83967;29/02/1984;32.2;23;25.9
83967;01/03/1984;30.9;22.7;25
83967;02/03/1984;27.7;22.1;23.94
83967;03/03/1984;28.5;20.8;24.3
83967;04/03/1984;30.6;21.6;24.88
83967;05/03/1984;32.3;22.6;26.06
83967;06/03/1984;32.4;21.9;26.06
83967;07/03/1984;31.8;22;26.24
83967;08/03/1984;31.8;21.6;26.16
83967;09/03/1984;32.8;21.5;24.98
83967;10/03/1984;24.1;19.3;21.88
83967;11/03/1984;25.1;19;21.26
83967;12/03/1984;24.7;17;20.3
83967;13/03/1984;25.9;18.2;21.92
83967;14/03/1984;30.3;19.8;24.38
83967;15/03/1984;32.7;19.8;25.34
83967;16/03/1984;32.9;20.1;26.16
83967;17/03/1984;27.3;21;24.12
83967;18/03/1984;26.3;20.9;22.3
83967;19/03/1984;27.5;16.7;22.24
83967;20/03/1984;24.1;19.2;21.02
83967;21/03/1984;25.5;19.1;21.64
83967;22/03/1984;28.1;18.4;22.78
83967;23/03/1984;30.3;19.2;24.22
83967;24/03/1984;30.7;21.8;25.3
83967;25/03/1984;25.7;22;22.98
83967;26/03/1984;25.7;17.2;21.26
83967;27/03/1984;26.9;17.7;21.92
83967;28/03/1984;31.8;18.1;24.48
83967;29/03/1984;24.2;20.6;21.64
83967;30/03/1984;24.2;16.8;19.48
83967;31/03/1984;25.1;15.4;20.36
83967;01/04/1984;23;18.2;20.32
83967;02/04/1984;25.4;17.6;21.28
83967;03/04/1984;24.4;17.2;19.28
83967;04/04/1984;22.3;12.6;17.4
83967;05/04/1984;23.4;12.8;17.72
83967;06/04/1984;25.9;11.3;18.2
83967;07/04/1984;23.2;11.4;17.16
83967;08/04/1984;26.7;12.8;19.38
83967;09/04/1984;28.8;16.2;22.04
83967;10/04/1984;28.8;18.6;22.72
83967;11/04/1984;28.1;18.3;22.12
83967;12/04/1984;27.2;19.4;22
83967;13/04/1984;28.4;18.6;22.36
83967;14/04/1984;30.7;19.8;23.96
83967;15/04/1984;30.4;19.4;24.3
83967;16/04/1984;25.9;21.1;22.36
83967;17/04/1984;21.6;19.6;20.24
