estacao;data;maxima;minima;media
83967;01/01/1983;26.3;21.4;23.26
83967;02/01/1983;27.6;17.8;22.5
83967;03/01/1983;28.4;20.8;23.86
83967;04/01/1983;27;21;23.48
83967;05/01/1983;22.5;19.8;20.74
83967;06/01/1983;25.9;19.4;22.22
83967;07/01/1983;27.4;20.5;23.1
83967;08/01/1983;26.8;20;22.96
83967;09/01/1983;29.6;20;24.08
83967;10/01/1983;32.6;21.1;25.82
83967;11/01/1983;33.9;21.5;26.96
83967;12/01/1983;32.8;22.4;26.26
83967;13/01/1983;32.3;23;26.26
83967;14/01/1983;31.4;23.1;26.52
83967;15/01/1983;33.8;23.4;26.96
83967;16/01/1983;28.6;23.6;25.08
83967;17/01/1983;28.8;21.5;24.96
83967;18/01/1983;30.8;21.8;25.54
83967;19/01/1983;29.6;22.7;24.46
83967;20/01/1983;28.8;19.7;23.94
83967;21/01/1983;29.3;20.8;24.86
83967;22/01/1983;32.2;21;25.54
83967;23/01/1983;32.2;21.2;25.78
83967;24/01/1983;32;22.3;26.74
83967;25/01/1983;35.6;24.4;28.52
83967;26/01/1983;34.6;23.1;26.82
83967;27/01/1983;28.6;22.8;25.24
83967;28/01/1983;31.3;23.4;26.58
83967;29/01/1983;28.6;24.6;26.44
83967;30/01/1983;28.5;24;25.74
83967;31/01/1983;24.6;22.4;23.22
83967;01/02/1983;24.7;18.4;21.46
83967;02/02/1983;23.7;16.6;20.4
83967;03/02/1983;27;17;22.04
83967;04/02/1983;28.6;18;22.96
83967;05/02/1983;29.2;20.4;24.12
83967;06/02/1983;30.9;21.5;25.4
83967;07/02/1983;32.4;21.8;26.08
83967;08/02/1983;31.4;22.8;25.74
83967;09/02/1983;31.9;22;25
83967;10/02/1983;32.2;20.4;25.4
83967;11/02/1983;33.7;22.9;27.28
83967;12/02/1983;26.9;21.8;23.82
83967;13/02/1983;24.4;18.4;21.8
83967;14/02/1983;31.6;20.4;26.04
83967;15/02/1983;32.8;21.8;25.66
83967;16/02/1983;24.4;21.8;22.44
83967;17/02/1983;26.2;18.4;21.6
83967;18/02/1983;32.4;19.1;25.14
83967;19/02/1983;33.8;21.4;27.26
83967;20/02/1983;32.6;23.2;25.76
83967;21/02/1983;30.3;22;25.64
83967;22/02/1983;32.2;23.2;27.72
83967;23/02/1983;32.7;24.4;27.2
83967;24/02/1983;27.1;22.5;24.32
83967;25/02/1983;32.5;21.7;24.74
83967;26/02/1983;23.4;21.5;22.58
83967;27/02/1983;22.9;19.2;20.38
83967;28/02/1983;19.9;18.2;18.86
83967;01/03/1983;26;17.2;20.88
83967;02/03/1983;26.6;17.4;21.76
83967;03/03/1983;26.6;20.8;22.44
83967;04/03/1983;25.7;20.2;22.44
83967;05/03/1983;27.6;19.4;22.8
83967;06/03/1983;27.3;19.8;22.92
83967;07/03/1983;27.8;20;23.32
83967;08/03/1983;29.7;20.3;23.98
83967;09/03/1983;33.9;20;26.28
83967;10/03/1983;27.5;20;22.54
83967;11/03/1983;24.1;19.2;21.42
83967;12/03/1983;26.2;20.6;21.88
83967;13/03/1983;24;16.6;20.08
83967;14/03/1983;26;15.2;20.48
83967;15/03/1983;26.2;18.7;22.06
83967;16/03/1983;28;19.2;23.72
83967;17/03/1983;26.5;20.6;22.14
83967;18/03/1983;22.8;18;19.68
83967;19/03/1983;24;13.7;18.42
83967;20/03/1983;22.4;14.2;17.46
83967;21/03/1983;23.8;11.4;17.52
83967;22/03/1983;25.7;14.2;20.26
83967;23/03/1983;25.2;19.1;21.3
83967;24/03/1983;25.8;17.6;21.24
83967;25/03/1983;26.4;18;21.76
83967;26/03/1983;27;19.1;22.46
83967;27/03/1983;28.7;20.4;23.76
83967;28/03/1983;29.6;20.3;23.4
83967;29/03/1983;23.5;19.2;20.7
83967;30/03/1983;24.1;15.2;19.46
83967;31/03/1983;24.2;17.8;20.88
83967;01/04/1983;25.4;19.4;21.44
83967;02/04/1983;28;19.8;23.52
83967;03/04/1983;29.7;20;22.98
83967;04/04/1983;21.4;19;19.9
83967;05/04/1983;21;18.2;19.04
83967;06/04/1983;21.8;17.2;18.56
83967;07/04/1983;24.6;14.3;18.86
83967;08/04/1983;26;15.4;20.14
83967;09/04/1983;24.4;16.2;19.8
83967;10/04/1983;26.8;17.7;21.22
83967;11/04/1983;27.9;17;21.7
83967;12/04/1983;29.4;17.2;23.02
83967;13/04/1983;28.2;19.3;22.32
83967;14/04/1983;24.3;15.2;19.5
83967;15/04/1983;23.9;17.6;19.78
83967;16/04/1983;22.7;16.2;18.06
83967;17/04/1983;24.7;15.3;19.76
83967;18/04/1983;22.2;18.4;20.68
83967;19/04/1983;24;19.6;20.92
83967;20/04/1983;23.8;17.6;19.52
83967;21/04/1983;21.2;14.8;16.66
83967;22/04/1983;20.4;13.1;15.62
83967;23/04/1983;22.7;9.8;16.5
83967;24/04/1983;18.8;14.6;17.34
83967;25/04/1983;23.7;17;19.22
83967;26/04/1983;24.7;16.2;19.34
83967;27/04/1983;27.3;15;20.8
83967;28/04/1983;24.8;16.4;20.28
83967;29/04/1983;22.3;18.8;20.02
83967;30/04/1983;21.3;16;18.34
83967;01/05/1983;19.8;17.2;18.3
83967;02/05/1983;19.9;17.3;18.52
83967;03/05/1983;24.1;18.1;20.68
83967;04/05/1983;28.8;18.2;21.9
83967;05/05/1983;23.3;17.3;19.18
83967;06/05/1983;21;14.4;17.12
83967;07/05/1983;24.3;14.6;19.26
83967;08/05/1983;21.4;17.2;18.36
83967;09/05/1983;21.6;15;17.92
83967;10/05/1983;25.8;17.2;20.7
83967;11/05/1983;20.6;18;18.84
