estacao;data;maxima;minima;media
83967;01/01/1982;23;17.7;19.1
83967;02/01/1982;23.8;14.5;19.26
83967;03/01/1982;25;15.8;20.34
83967;04/01/1982;27.2;16.9;21.6
83967;05/01/1982;30.5;17.8;23.3
83967;06/01/1982;29.2;18.2;23.64
83967;07/01/1982;23.9;20.7;22.04
83967;08/01/1982;24;20.2;21.88
83967;09/01/1982;29.4;19.8;24.18
83967;10/01/1982;33.2;20.6;26.08
83967;11/01/1982;25.5;20;21.88
83967;12/01/1982;26;18;21.48
83967;13/01/1982;27.9;19;22.02
83967;14/01/1982;27.3;17.8;22.3
83967;15/01/1982;29.5;17.3;22.64
83967;16/01/1982;32.2;17.3;23.58
83967;17/01/1982;30.2;19.2;24.6
83967;18/01/1982;28.6;22.2;24.16
83967;19/01/1982;27.4;19.2;22.78
83967;20/01/1982;32.3;19.8;25.02
83967;21/01/1982;33.5;21;26.18
83967;22/01/1982;;;
83967;23/01/1982;26.3;16.8;20.74
83967;24/01/1982;28.6;14.8;21.64
83967;25/01/1982;30.6;17;23.14
83967;26/01/1982;33.4;17.6;24.96
83967;27/01/1982;34.7;20.3;26.5
83967;28/01/1982;34.9;21.8;27.26
83967;29/01/1982;35;23;28.14
83967;30/01/1982;34.2;23;27.6
83967;31/01/1982;35.4;22.6;27.88
83967;01/02/1982;34.7;22.7;27.4
83967;02/02/1982;33.2;24.6;27.36
83967;03/02/1982;;;
83967;04/02/1982;23.5;21;21.54
83967;05/02/1982;24.7;19.2;21.8
83967;06/02/1982;27.8;17.4;22.2
83967;07/02/1982;32.5;17.3;24.26
83967;08/02/1982;32.9;20.1;25.6
83967;09/02/1982;29.3;22.4;25.06
83967;10/02/1982;31.7;22.6;26.98
83967;11/02/1982;31.2;23.2;26.36
83967;12/02/1982;30.5;21.2;26.1
83967;13/02/1982;33;22.3;25.5
83967;14/02/1982;28;22;23.92
83967;15/02/1982;28.6;19.7;23.94
83967;16/02/1982;32;21.8;26.2
83967;17/02/1982;30.2;22.6;25.56
83967;18/02/1982;26.8;22;23.76
83967;19/02/1982;26.6;20.4;22.68
83967;20/02/1982;29.2;20.1;23.9
83967;21/02/1982;31.9;22.7;26.16
83967;22/02/1982;26.1;20.6;22.66
83967;23/02/1982;25.9;17.6;21.86
83967;24/02/1982;25.8;18.2;21.36
83967;25/02/1982;;;
83967;26/02/1982;30.2;18.6;23.76
83967;27/02/1982;31.2;21.2;25.08
83967;28/02/1982;31.5;21;25.34
83967;01/03/1982;30.2;21.2;24.18
83967;02/03/1982;26.6;19.6;22.34
83967;03/03/1982;26.4;18.8;22.08
83967;04/03/1982;27.6;15;21.62
83967;05/03/1982;25.8;18;22.44
83967;06/03/1982;30.2;18.4;23.38
83967;07/03/1982;31.7;18.9;24.1
83967;08/03/1982;29.8;18.8;23.88
83967;09/03/1982;29.4;21.5;24.9
83967;10/03/1982;31.5;21.8;25.38
83967;11/03/1982;29.6;20.8;23.98
83967;12/03/1982;29.3;20.6;24.08
83967;13/03/1982;28.8;20.1;23.6
83967;14/03/1982;31.5;19.6;24.92
83967;15/03/1982;26.8;19.7;22.9
83967;16/03/1982;30.8;19.7;24.18
83967;17/03/1982;31.1;19.8;24.38
83967;18/03/1982;31;20;23.76
83967;19/03/1982;28.9;20;23.24
83967;20/03/1982;29.3;19.6;23.6
83967;21/03/1982;29;20.3;22.82
83967;22/03/1982;28;19.8;23.22
83967;23/03/1982;30.5;20;24.26
83967;24/03/1982;31.2;21.1;25.02
83967;25/03/1982;30.4;21.1;24.84
83967;26/03/1982;31.3;21.8;25.74
83967;27/03/1982;27.2;18.3;21.22
83967;28/03/1982;21.1;14.8;17.3
83967;29/03/1982;24.2;14;18.6
83967;30/03/1982;;;
83967;31/03/1982;29.2;18.6;22.9
83967;01/04/1982;29;18.2;22.66
83967;02/04/1982;30.3;18;23.34
83967;03/04/1982;27.7;20;23.12
83967;04/04/1982;28.2;19.6;23.56
83967;05/04/1982;29.6;19.9;23.42
83967;06/04/1982;28.3;18.6;22.42
83967;07/04/1982;23.9;17.8;20.04
83967;08/04/1982;25.6;15.6;19.96
83967;09/04/1982;25.8;15.2;19.78
83967;10/04/1982;27.2;16.2;21
83967;11/04/1982;29.4;16.3;22
83967;12/04/1982;29.6;16.1;22.2
83967;13/04/1982;30.9;18.1;23.52
83967;14/04/1982;27.5;18.1;21.38
83967;15/04/1982;22.8;15;17.92
83967;16/04/1982;20.8;10.6;16.26
83967;17/04/1982;22.7;11.2;16.88
83967;18/04/1982;26.4;13.6;19.4
83967;19/04/1982;27.2;15.8;21.1
83967;20/04/1982;26.4;16;21.64
83967;21/04/1982;25.5;18.2;20.54
83967;22/04/1982;23.3;13.4;18.98
83967;23/04/1982;24.8;16.8;20.16
83967;24/04/1982;28.2;17.6;21.4
83967;25/04/1982;28.5;16.1;21.22
83967;26/04/1982;25.3;18.3;20.98
83967;27/04/1982;;;
83967;28/04/1982;23.8;17.5;19.62
83967;29/04/1982;24.8;15.4;19.64
83967;30/04/1982;26.2;14.2;19.36
83967;01/05/1982;27;13.8;19.96
83967;02/05/1982;21.8;15.1;18.22
83967;03/05/1982;19.6;12.4;15.88
83967;04/05/1982;23;12.8;17.9
83967;05/05/1982;24.4;13.8;19.1
83967;06/05/1982;25.7;17;20.06
83967;07/05/1982;26.2;15.1;19.78
83967;08/05/1982;;;
83967;09/05/1982;;;
83967;10/05/1982;;;
83967;11/05/1982;24.1;15;19.42
83967;12/05/1982;28.4;15.2;20.72
83967;13/05/1982;;;
83967;14/05/1982;;;
83967;15/05/1982;20.9;15.2;16.54
83967;16/05/1982;26.4;14.6;19.86
83967;17/05/1982;;;
83967;18/05/1982;;;
83967;19/05/1982;19.6;13.5;15.34
83967;20/05/1982;19.2;10.2;13.98
83967;21/05/1982;19.5;10.2;13.62
83967;22/05/1982;19.4;9.4;13.98
83967;23/05/1982;21.6;12.2;16.24
83967;24/05/1982;21.6;14.2;17.1
83967;25/05/1982;19.9;15.6;17.42
83967;26/05/1982;18.4;15;16.16
83967;27/05/1982;18.1;9.3;11.9
83967;28/05/1982;17.8;6.3;10.46
83967;29/05/1982;;;
83967;30/05/1982;21.7;6.6;13.34
83967;31/05/1982;23.4;7.4;15.28
83967;01/06/1982;23.5;9.2;15.2
83967;02/06/1982;27.2;8;16
83967;03/06/1982;26.2;12.2;18.12
83967;04/06/1982;;;
83967;05/06/1982;20.4;12.8;16.36
83967;06/06/1982;21.3;15;16.6
83967;07/06/1982;22;12.6;16.24
83967;08/06/1982;;;
83967;09/06/1982;27.5;14;20.76
83967;10/06/1982;;;
83967;11/06/1982;24.5;14.4;18.78
83967;12/06/1982;;;
83967;13/06/1982;25.2;14;19.54
83967;14/06/1982;;;
83967;15/06/1982;;;
83967;16/06/1982;;;
83967;17/06/1982;18.4;4.2;12.8
83967;18/06/1982;;;
83967;19/06/1982;;;
83967;20/06/1982;17.8;14.3;15.3
83967;21/06/1982;17.5;9.8;13.62
83967;22/06/1982;17.1;11.8;13.94
83967;23/06/1982;14.7;8.4;11.18
83967;24/06/1982;;;
83967;25/06/1982;15.9;10.5;12.62
83967;26/06/1982;16.8;9.4;12.84
83967;27/06/1982;;;
83967;28/06/1982;;;
83967;29/06/1982;;;
83967;30/06/1982;;;
