estacao;data;maxima;minima;media
83967;01/01/1981;32;20.3;25.38
83967;02/01/1981;30.4;21.6;25.08
83967;03/01/1981;33.1;22.6;25.86
83967;04/01/1981;27.4;19.4;22.68
83967;05/01/1981;31.7;19.1;24.4
83967;06/01/1981;33;21.8;26.6
83967;07/01/1981;;;
83967;08/01/1981;27.5;17;22.14
83967;09/01/1981;29.8;19.6;24.06
83967;10/01/1981;30.9;20.3;24.9
83967;11/01/1981;30.2;21.7;24.82
83967;12/01/1981;31.3;22.6;25.9
83967;13/01/1981;30.5;21;24.88
83967;14/01/1981;28.7;20.3;23.8
83967;15/01/1981;25.5;20.9;22.66
83967;16/01/1981;28.9;20.6;24.42
83967;17/01/1981;27.7;23;24.44
83967;18/01/1981;28.9;22.2;24.7
83967;19/01/1981;30.9;18.5;25.02
83967;20/01/1981;29.4;21.3;25.54
83967;21/01/1981;;;
83967;22/01/1981;25.5;15.8;20.3
83967;23/01/1981;30.4;17.8;24.12
83967;24/01/1981;31.6;20.2;25.22
83967;25/01/1981;30;22;25.3
83967;26/01/1981;31.6;22.7;26.2
83967;27/01/1981;33.6;23.2;27.28
83967;28/01/1981;35.1;25;29.78
83967;29/01/1981;;;
83967;30/01/1981;26.3;20;22.46
83967;31/01/1981;30;18.2;23.86
83967;01/02/1981;30.3;22.3;25.44
83967;02/02/1981;31.4;22.6;25.72
83967;03/02/1981;;;
83967;04/02/1981;;;
83967;05/02/1981;24.9;16.6;20.72
83967;06/02/1981;26.2;18.4;22.08
83967;07/02/1981;;;
83967;08/02/1981;33.6;20.6;25.68
83967;09/02/1981;;;
83967;10/02/1981;;;
83967;11/02/1981;31.4;21.2;26.48
83967;12/02/1981;35.5;23.2;28.34
83967;13/02/1981;31;21.5;26.1
83967;14/02/1981;;;
83967;15/02/1981;34.3;22.5;28.24
83967;16/02/1981;28.1;22.6;24.9
83967;17/02/1981;;;
83967;18/02/1981;34.4;22;26.12
83967;19/02/1981;27;21.6;24.28
83967;20/02/1981;29.8;23;25.28
83967;21/02/1981;31.2;20.8;25.44
83967;22/02/1981;;;
83967;23/02/1981;31.2;21.7;25.58
83967;24/02/1981;31.8;22;26.32
83967;25/02/1981;33.6;21.8;27.74
83967;26/02/1981;;;
83967;27/02/1981;34.5;23.8;29.02
83967;28/02/1981;;;
83967;01/03/1981;27.1;19.6;22.34
83967;02/03/1981;32.8;18.8;26.74
83967;03/03/1981;28.8;22.2;24.22
83967;04/03/1981;26;17.3;21.8
83967;05/03/1981;29.7;18.9;23.72
83967;06/03/1981;30.2;22.8;25.5
83967;07/03/1981;27.1;21;23.94
