estacao;data;maxima;minima;media
83967;01/01/2003;29.6;22.6;25.26
83967;02/01/2003;29.9;21.4;23.82
83967;03/01/2003;29.6;20.4;23.72
83967;04/01/2003;30.4;21.9;25.52
83967;05/01/2003;31.6;21.8;26.28
83967;06/01/2003;29.9;21.6;24.82
83967;07/01/2003;31.6;18;23.8
83967;08/01/2003;32.9;18.1;24.84
83967;09/01/2003;34.2;22;26.76
83967;10/01/2003;25.8;22.6;23.36
83967;11/01/2003;30.8;19;24.44
83967;12/01/2003;29.8;19.8;24.36
83967;13/01/2003;31.2;20.4;25.24
83967;14/01/2003;32.5;21;26.06
83967;15/01/2003;32.7;21.2;25.94
83967;16/01/2003;34.4;21.6;27.44
83967;17/01/2003;34.4;21.8;27.52
83967;18/01/2003;29.9;23.4;25.36
83967;19/01/2003;32.2;20;25.4
83967;20/01/2003;28.8;20.8;24.32
83967;21/01/2003;30.8;20.8;24.88
83967;22/01/2003;32.3;22;25.8
83967;23/01/2003;25.2;22;22.78
83967;24/01/2003;26.4;18.8;22
83967;25/01/2003;30.4;16.3;22.96
83967;26/01/2003;31.2;19.6;24.56
83967;27/01/2003;30.4;21.6;24.72
83967;28/01/2003;30.6;19.8;24.54
83967;29/01/2003;30.8;19.7;24.5
83967;30/01/2003;35.2;19.4;27.24
83967;31/01/2003;36.4;23;29.36
83967;01/02/2003;37.4;24;27.8
83967;02/02/2003;35.4;23;27.54
83967;03/02/2003;35.2;24.4;28.8
83967;04/02/2003;37.8;24.8;29.08
83967;05/02/2003;35.6;24.9;28.86
83967;06/02/2003;33.2;24.6;27.64
83967;07/02/2003;34.6;25.6;27.62
83967;08/02/2003;31.2;24.1;25.92
83967;09/02/2003;30.4;23.6;25.16
83967;10/02/2003;31;22.8;25.84
83967;11/02/2003;30.1;23.6;26.78
83967;12/02/2003;31.4;24.6;26.86
83967;13/02/2003;30;21.6;24.28
83967;14/02/2003;28.4;19.3;23.38
83967;15/02/2003;32.2;18.5;25.26
83967;16/02/2003;29.1;22.3;24.82
83967;17/02/2003;27.4;18.9;22.7
83967;18/02/2003;29.2;18;23.14
83967;19/02/2003;27.3;18.1;22.84
83967;20/02/2003;22.8;20.6;20.64
83967;21/02/2003;25.9;18.9;20.94
83967;22/02/2003;24.6;16.4;21.32
83967;23/02/2003;31.9;20;25.1
83967;24/02/2003;31;23;25.18
83967;25/02/2003;31.8;22.6;26.6
83967;26/02/2003;33.4;22.1;26.78
83967;27/02/2003;35.8;22;28.72
83967;28/02/2003;33.2;23.6;27.64
83967;01/03/2003;34.8;22.3;25.72
83967;02/03/2003;30.6;22;25.32
83967;03/03/2003;26.6;19;23.6
83967;04/03/2003;29.8;22.8;25.28
83967;05/03/2003;32.4;21.8;26.28
83967;06/03/2003;34.6;23.2;27.52
83967;07/03/2003;30.6;24;25.98
83967;08/03/2003;32.6;23.9;27
83967;09/03/2003;32.4;23.9;27.02
83967;10/03/2003;33.2;24.4;27.74
83967;11/03/2003;31.4;23.6;26.16
83967;12/03/2003;28;22.8;24.4
83967;13/03/2003;26.4;21.1;22.54
83967;14/03/2003;29.4;19.4;23.18
83967;15/03/2003;28.6;;23.7
83967;16/03/2003;;;22.78
83967;17/03/2003;;16;21.28
83967;18/03/2003;30.8;;23.36
