estacao;data;maxima;minima;media
83967;01/01/2007;35.4;22.2;28.1
83967;02/01/2007;34.5;23.6;28.26
83967;03/01/2007;34;24.7;27.26
83967;04/01/2007;33.6;23.6;27.46
83967;05/01/2007;32;24;27.08
83967;06/01/2007;29;22;24.68
83967;07/01/2007;29.6;19.1;24.02
83967;08/01/2007;28.4;20.8;23.64
83967;09/01/2007;32.7;20.6;25.9
83967;10/01/2007;36.4;22.2;27.58
83967;11/01/2007;33.5;24.3;26.68
83967;12/01/2007;29.6;24;25.94
83967;13/01/2007;32.6;20.7;26.5
83967;14/01/2007;28;20.6;22.2
83967;15/01/2007;28.5;15;22.32
83967;16/01/2007;28.8;16.7;22.28
83967;17/01/2007;30;20.4;25.68
83967;18/01/2007;28.4;20.2;23.76
83967;19/01/2007;33.6;20;25.88
83967;20/01/2007;26.8;19.6;21.52
83967;21/01/2007;26.5;19;21.3
83967;22/01/2007;29.6;16.6;22.84
83967;23/01/2007;34.2;20.4;26.56
83967;24/01/2007;35.8;22.2;28.64
83967;25/01/2007;35.2;23.4;28.04
83967;26/01/2007;27.8;23.6;25.04
83967;27/01/2007;32.7;23.2;27.7
83967;28/01/2007;28.6;23.4;25.3
83967;29/01/2007;28.2;21.6;23.84
83967;30/01/2007;29.6;20.4;24.26
83967;31/01/2007;29.8;21;24.78
83967;01/02/2007;32;21;25.72
83967;02/02/2007;33.3;20.5;26.36
83967;03/02/2007;34;18.6;25.28
83967;04/02/2007;35.6;19;26.44
83967;05/02/2007;31.5;23.8;26.42
83967;06/02/2007;31.6;20.2;26
83967;07/02/2007;29.5;24;25.62
83967;08/02/2007;29.7;19;23.7
83967;09/02/2007;30.2;19.9;24.3
83967;10/02/2007;32.5;21.8;25.7
83967;11/02/2007;27.7;20;22.9
83967;12/02/2007;27.3;16.5;21.8
83967;13/02/2007;30.6;18.4;23.68
83967;14/02/2007;31;19.9;24.54
83967;15/02/2007;32.3;20.6;25.22
83967;16/02/2007;36.6;20.3;27.98
83967;17/02/2007;29.9;21;25.18
83967;18/02/2007;25.6;19.1;21.3
83967;19/02/2007;25.8;17.4;21.74
83967;20/02/2007;22.8;19.7;21.42
83967;21/02/2007;29.5;21;24.76
83967;22/02/2007;31;22.2;24.96
83967;23/02/2007;30.2;23;25.24
83967;24/02/2007;27.4;20.6;24.16
83967;25/02/2007;32.2;21.3;25.8
83967;26/02/2007;33.9;20.7;26.16
83967;27/02/2007;34.2;20.7;27.7
83967;28/02/2007;34.8;23.8;28.22
83967;01/03/2007;35.4;22.8;28.36
83967;02/03/2007;29;21.7;24.34
83967;03/03/2007;27;21.8;23.62
83967;04/03/2007;33.7;22;26.06
83967;05/03/2007;31;23.3;26.26
83967;06/03/2007;34.4;23.8;27.74
