estacao;data;maxima;minima;media
83967;01/01/2008;33.6;22;26.2
83967;02/01/2008;34.2;23.1;27.42
83967;03/01/2008;35.7;22.6;27.66
83967;04/01/2008;31.7;23.9;27.08
83967;05/01/2008;30.2;22.3;24.86
83967;06/01/2008;30;20.2;23.92
83967;07/01/2008;32.1;16.9;24.2
83967;08/01/2008;34.6;19;26.24
83967;09/01/2008;35.3;19.3;26.76
83967;10/01/2008;37.5;21.4;28.9
83967;11/01/2008;29;20.4;22.42
83967;12/01/2008;27.7;18.5;22.84
83967;13/01/2008;28.7;19.1;23.6
83967;14/01/2008;31.2;20.4;25.82
83967;15/01/2008;33.4;22;27.24
83967;16/01/2008;32.8;24;26.46
83967;17/01/2008;27.4;20.3;22.84
83967;18/01/2008;30.2;19.3;24.66
83967;19/01/2008;24.7;21.2;22.42
83967;20/01/2008;27.2;18.2;22.06
83967;21/01/2008;27.8;15.5;21.46
83967;22/01/2008;28.7;16.4;22.66
83967;23/01/2008;28.6;18.5;23.54
83967;24/01/2008;31.2;18.9;24.26
83967;25/01/2008;30.2;19.9;24.16
83967;26/01/2008;28.6;20.1;23.64
83967;27/01/2008;30;20.9;24.18
83967;28/01/2008;30.2;19.2;24.18
83967;29/01/2008;31.2;20;25.06
83967;30/01/2008;25;19;20.84
83967;31/01/2008;23.8;19.1;20.62
83967;01/02/2008;26.4;19.4;22.46
83967;02/02/2008;26.5;20.1;22.32
83967;03/02/2008;25.2;19;20.9
83967;04/02/2008;27.8;14.4;20.68
83967;05/02/2008;32.4;15.2;23.9
83967;06/02/2008;32.7;20.7;25.36
83967;07/02/2008;34.4;19;25.76
83967;08/02/2008;34;20.3;25.66
83967;09/02/2008;31.8;20.7;24.92
83967;10/02/2008;30.8;21.8;24.52
83967;11/02/2008;22.4;20;20.68
83967;12/02/2008;26;19;21.32
83967;13/02/2008;28.4;17.4;22.68
83967;14/02/2008;31.5;19.3;24
83967;15/02/2008;32;19.7;25.02
83967;16/02/2008;28.8;22.8;24.6
83967;17/02/2008;31.4;19.8;24.54
83967;18/02/2008;30;19.9;24.58
83967;19/02/2008;29.4;21.4;24.58
83967;20/02/2008;29.8;21.7;24.96
83967;21/02/2008;31.2;20.1;24.42
83967;22/02/2008;30.6;17.7;23.9
83967;23/02/2008;30;20.7;24.5
83967;24/02/2008;30.2;20.1;24.38
83967;25/02/2008;30.4;21.8;25.2
83967;26/02/2008;30.7;22;25.14
83967;27/02/2008;32.2;22.2;26.06
83967;28/02/2008;31.4;23.4;25.76
83967;29/02/2008;24.5;21.1;22.22
83967;01/03/2008;29;20.2;23.6
83967;02/03/2008;29.8;19.9;24.1
83967;03/03/2008;29.6;21.1;24.46
83967;04/03/2008;28.8;21.4;24.84
83967;05/03/2008;29;21.8;24.88
83967;06/03/2008;30.6;19;24.78
83967;07/03/2008;31.4;19.2;25.02
83967;08/03/2008;33.5;20.1;25.76
83967;09/03/2008;34.7;21.5;26.28
83967;10/03/2008;30.2;22.5;25.5
83967;11/03/2008;25.6;21.2;22.44
83967;12/03/2008;27.9;19;22.02
83967;13/03/2008;28.4;16.9;22.32
83967;14/03/2008;28.3;18.3;21.68
83967;15/03/2008;28;17.8;22.44
83967;16/03/2008;30.6;17.6;23.02
83967;17/03/2008;31;17.9;23.3
83967;18/03/2008;31.1;18;23.7
83967;19/03/2008;33.6;21.6;26.66
83967;20/03/2008;31.8;24.4;26.8
83967;21/03/2008;33;21.3;26.04
83967;22/03/2008;32.2;22.7;25.42
83967;23/03/2008;24.5;19.9;21.8
83967;24/03/2008;25.3;18.4;21.58
83967;25/03/2008;30.4;18.9;23.44
83967;26/03/2008;32.8;18.5;25.7
83967;27/03/2008;33.1;20.5;24.04
83967;28/03/2008;26;19.8;22.08
83967;29/03/2008;26.2;19.5;21.66
83967;30/03/2008;26.2;16;20.64
83967;31/03/2008;28.2;17;22.7
83967;01/04/2008;29.3;20.3;23.76
83967;02/04/2008;27.4;19.8;22.14
83967;03/04/2008;23.4;15.5;18.58
83967;04/04/2008;25;15.7;19.3
83967;05/04/2008;27.7;13.8;19.7
83967;06/04/2008;30.5;14.3;21.76
83967;07/04/2008;31.6;16.9;23.02
83967;08/04/2008;32.2;17.7;23.78
83967;09/04/2008;33.6;17.2;24.62
83967;10/04/2008;26.6;20.5;22.86
83967;11/04/2008;30.6;17.9;23.58
83967;12/04/2008;24.7;19.8;21.26
83967;13/04/2008;20.4;16.3;17.58
83967;14/04/2008;19.6;12.4;14.6
83967;15/04/2008;20.5;8.2;13.32
83967;16/04/2008;25.4;12;17.9
83967;17/04/2008;28.2;14.1;19.62
83967;18/04/2008;27;15.5;19.62
83967;19/04/2008;25;12.7;18.48
83967;20/04/2008;27.4;15.4;20.32
83967;21/04/2008;21.2;17.7;19.1
83967;22/04/2008;25.3;18.2;20.58
83967;23/04/2008;23.8;17.3;19.6
83967;24/04/2008;27.2;15.1;19.98
83967;25/04/2008;26.9;15;20.02
83967;26/04/2008;20.6;16.9;18.6
83967;27/04/2008;27.4;15.3;20.18
83967;28/04/2008;21.3;16.6;18.76
83967;29/04/2008;19.7;13.3;15.32
83967;30/04/2008;18.6;7;11.44
83967;01/05/2008;19.8;8;14.24
83967;02/05/2008;17.4;14.5;16.14
83967;03/05/2008;19.1;15.5;16.92
83967;04/05/2008;17.8;15.6;16.58
83967;05/05/2008;19.8;14.3;15.64
83967;06/05/2008;20.8;11.3;14.32
