estacao;data;maxima;minima;media
83967;01/01/2011;30.4;20.8;24.8
83967;02/01/2011;30.4;21.4;24.4
83967;03/01/2011;27.3;22.2;23.68
83967;04/01/2011;31.6;21.8;25.6
83967;05/01/2011;35.5;22.2;27.34
83967;06/01/2011;34;23.6;27.28
83967;07/01/2011;33.8;22.2;27.28
83967;08/01/2011;36.5;23.4;27.54
83967;09/01/2011;32;22.4;26.84
83967;10/01/2011;30.6;22.9;25.68
83967;11/01/2011;30.6;21.8;24.84
83967;12/01/2011;30.5;21;23.9
83967;13/01/2011;29.2;21.2;24.32
83967;14/01/2011;32.8;21;26.12
83967;15/01/2011;32;23.2;25.64
83967;16/01/2011;36.7;22.2;28.18
83967;17/01/2011;34.8;24.4;27.92
83967;18/01/2011;28;23;24.4
83967;19/01/2011;30.8;21.6;25.64
83967;20/01/2011;31.4;22.2;25.76
83967;21/01/2011;30.2;21.8;25.2
83967;22/01/2011;25.3;23.2;23.86
83967;23/01/2011;30.2;22.4;25.04
83967;24/01/2011;32.9;22;26.6
83967;25/01/2011;32.4;22.8;27.2
83967;26/01/2011;35.4;24;28.24
83967;27/01/2011;34.7;24.2;28.18
83967;28/01/2011;32.8;25.4;28.12
83967;29/01/2011;32.8;26;27.84
83967;30/01/2011;31.8;21.8;25.72
83967;31/01/2011;35.3;21.4;27.98
83967;01/02/2011;29.3;23.3;25.02
83967;02/02/2011;28.7;19.2;23.74
83967;03/02/2011;32.8;18.6;25.54
83967;04/02/2011;36.8;23.3;28.38
83967;05/02/2011;35.5;23.8;28.12
83967;06/02/2011;31.1;25;26.74
83967;07/02/2011;29.9;22.2;25.24
83967;08/02/2011;30.2;23.6;26.68
83967;09/02/2011;30.2;23;26.46
83967;10/02/2011;27.2;22.6;23.96
83967;11/02/2011;27.7;20.4;23.78
83967;12/02/2011;25.2;21.4;23.36
83967;13/02/2011;27.7;21.8;23.84
83967;14/02/2011;29.1;18.5;22.98
83967;15/02/2011;28.3;18.1;22.4
83967;16/02/2011;29.6;20.5;24.54
83967;17/02/2011;31.8;23.2;26.3
83967;18/02/2011;32.3;22.2;26.14
83967;19/02/2011;31.6;22.1;25.24
83967;20/02/2011;31.4;23.7;26.52
83967;21/02/2011;29.9;22.6;25.88
83967;22/02/2011;29.1;22.6;24.82
83967;23/02/2011;28.7;21.7;23.86
83967;24/02/2011;31.8;21.8;25.78
83967;25/02/2011;32.8;23.2;26.18
83967;26/02/2011;27.1;22.6;23.9
83967;27/02/2011;29.9;19.2;23.46
83967;28/02/2011;29.6;18.1;23.14
83967;01/03/2011;27.9;18.9;22.56
83967;02/03/2011;28.5;18.8;22.78
83967;03/03/2011;29.5;20;23.68
83967;04/03/2011;30.1;18.8;23.34
83967;05/03/2011;27.9;19.9;22.94
83967;06/03/2011;29.1;19;23.26
83967;07/03/2011;31.7;20.6;24.7
83967;08/03/2011;31.4;19.6;24.12
83967;09/03/2011;31.5;21.8;25.18
83967;10/03/2011;31.3;22.5;24.84
83967;11/03/2011;26.9;22.1;24.08
83967;12/03/2011;31.8;22.2;25.64
83967;13/03/2011;33.5;21.8;25.2
83967;14/03/2011;25.8;19;20.94
83967;15/03/2011;26;14.5;20.3
83967;16/03/2011;30.7;18;22.8
83967;17/03/2011;33.6;18.8;24.94
83967;18/03/2011;25;20.6;21.68
83967;19/03/2011;26.6;14.6;19.58
83967;20/03/2011;28.5;15;21
83967;21/03/2011;30.3;17.4;22.98
83967;22/03/2011;33.2;14.1;23.98
83967;23/03/2011;34;20;26.54
83967;24/03/2011;27.9;22;24.06
83967;25/03/2011;24;20.7;21.54
83967;26/03/2011;27.3;20.8;23.2
83967;27/03/2011;25;19.8;21.24
83967;28/03/2011;22.3;19.3;20.46
83967;29/03/2011;24.3;17.7;20.24
83967;30/03/2011;28.3;18.1;21.72
83967;31/03/2011;30.2;18;22.98
83967;01/04/2011;28.5;19.8;23.1
83967;02/04/2011;28.4;21.2;23
83967;03/04/2011;28.5;17.7;21.48
83967;04/04/2011;29.3;15.7;20.72
83967;05/04/2011;26.5;16.1;20.08
83967;06/04/2011;27;14.3;19.86
83967;07/04/2011;27.7;15.1;20.2
83967;08/04/2011;27;14.9;19.34
83967;09/04/2011;25.3;17.1;19.88
83967;10/04/2011;27.5;17.2;20.78
83967;11/04/2011;28.4;17.3;21.54
83967;12/04/2011;27.4;17.3;21.86
83967;13/04/2011;29.7;19;23.46
83967;14/04/2011;24.1;19.2;20.58
83967;15/04/2011;26.9;17.9;21.52
83967;16/04/2011;22.5;17.3;19.52
83967;17/04/2011;30.4;18.1;22.98
83967;18/04/2011;22.8;18;19.2
83967;19/04/2011;22.9;13.9;18.58
83967;20/04/2011;31.6;16.3;23.22
83967;21/04/2011;26.1;17;20.68
83967;22/04/2011;31.6;19.2;22.48
83967;23/04/2011;22.8;18.7;19.9
83967;24/04/2011;23.2;11.3;16.26
83967;25/04/2011;24.5;11.9;16.36
83967;26/04/2011;25;11.1;16.94
83967;27/04/2011;27.2;13.9;19.44
83967;28/04/2011;27.9;16;20.68
83967;29/04/2011;27.6;15.3;20.14
83967;30/04/2011;22.5;18;19.66
83967;01/05/2011;22.2;16.5;18.24
83967;02/05/2011;16.8;14.3;15.14
83967;03/05/2011;20.3;11.9;15.26
83967;04/05/2011;23.1;11.6;16.1
83967;05/05/2011;23.7;12;17.16
83967;06/05/2011;23.4;12.7;16.88
83967;07/05/2011;24.6;10.6;16.4
