estacao;data;maxima;minima;media
83967;01/01/2013;25.5;19.2;21.58
83967;02/01/2013;27.5;15.6;20.08
83967;03/01/2013;30;14.6;22.16
83967;04/01/2013;33.6;17.4;24.84
83967;05/01/2013;31.8;19.6;25.16
83967;06/01/2013;31.1;20.1;26.14
83967;07/01/2013;32.2;22.3;25.98
83967;08/01/2013;30.6;21.2;24.32
83967;09/01/2013;31.5;21;24.92
83967;10/01/2013;31;19.3;23.6
83967;11/01/2013;29.1;16.5;22.06
83967;12/01/2013;30.1;16.8;22.42
83967;13/01/2013;31.4;17.3;23.66
83967;14/01/2013;31.5;19.8;24.88
83967;15/01/2013;30.2;20.6;24.8
83967;16/01/2013;32.6;20.6;25.64
83967;17/01/2013;34.2;20.5;26.2
83967;18/01/2013;30.1;21.9;24.8
83967;19/01/2013;29.5;19;23.12
83967;20/01/2013;28.7;20;23.1
83967;21/01/2013;30;18.2;23.48
83967;22/01/2013;31.9;19.1;24.44
83967;23/01/2013;33.7;19.3;25.86
83967;24/01/2013;35.6;21.9;25.94
83967;25/01/2013;32.2;21.5;24.36
83967;26/01/2013;27.2;16.3;20.34
83967;27/01/2013;29.5;14.4;21.6
83967;28/01/2013;33;17.9;24.58
83967;29/01/2013;34.8;19;25.82
83967;30/01/2013;36.2;19.7;26.44
83967;31/01/2013;37.7;20.3;27.94
83967;01/02/2013;38.2;21.8;29.24
83967;02/02/2013;30.8;22.2;25.92
83967;03/02/2013;27.5;19.6;22.32
83967;04/02/2013;27.6;17;21.8
83967;05/02/2013;27.7;17.2;22.42
83967;06/02/2013;29.6;19.9;23.46
83967;07/02/2013;29.5;20.8;23.98
83967;08/02/2013;28.5;19.6;23.66
83967;09/02/2013;28.9;21.5;24.22
83967;10/02/2013;32;22.2;24.84
83967;11/02/2013;32;20.8;25.3
83967;12/02/2013;31.4;22.8;26.3
83967;13/02/2013;32.9;23.6;26.98
83967;14/02/2013;33;22.9;26
83967;15/02/2013;31.4;22.9;25.8
83967;16/02/2013;31.9;22.4;26.02
83967;17/02/2013;33;22.5;27.26
83967;18/02/2013;31.6;23.2;26.02
83967;19/02/2013;28.4;22.6;24.76
83967;20/02/2013;31.4;23.9;26.14
83967;21/02/2013;30.2;23.2;25.66
83967;22/02/2013;27.5;20.2;22.42
83967;23/02/2013;29.6;18.8;23.88
83967;24/02/2013;33.6;19.4;26.76
83967;25/02/2013;29.2;23.6;24.84
83967;26/02/2013;26.1;18.6;21.3
83967;27/02/2013;27.1;14.5;20.02
83967;28/02/2013;28;15;20.88
83967;01/03/2013;32;17.9;24.54
83967;02/03/2013;33.3;21.3;27.18
83967;03/03/2013;27.3;23;24.74
83967;04/03/2013;25.9;19;21.1
83967;05/03/2013;24.2;17.2;19.92
83967;06/03/2013;27.5;19.6;21.96
83967;07/03/2013;32.2;16.2;23.52
83967;08/03/2013;28.3;21.1;24.14
83967;09/03/2013;27.7;21.4;24.04
83967;10/03/2013;28.4;22.2;25
83967;11/03/2013;30.2;20.4;23.54
83967;12/03/2013;23.3;20.2;21.32
83967;13/03/2013;24.9;19;20.62
83967;14/03/2013;26;16.3;20.62
83967;15/03/2013;21.3;17.6;18.8
83967;16/03/2013;21.9;17.6;18.58
83967;17/03/2013;24;15;18.54
83967;18/03/2013;23;14.5;18.9
83967;19/03/2013;23.4;17.6;20.56
83967;20/03/2013;20.9;18.3;19.44
83967;21/03/2013;27.4;17.3;21.98
83967;22/03/2013;28.3;19.4;21.86
83967;23/03/2013;27;16.9;20.74
83967;24/03/2013;25.4;15.6;20.04
83967;25/03/2013;29.5;16.4;22.1
83967;26/03/2013;26.2;18.6;20.56
83967;27/03/2013;25.4;16.5;20.16
83967;28/03/2013;26.5;18.2;20.94
83967;29/03/2013;27.8;15.5;20.84
83967;30/03/2013;30.6;17.1;22.92
83967;31/03/2013;32.4;18.4;24.36
83967;01/04/2013;27.6;17;22.26
83967;02/04/2013;28.3;20.7;23.66
83967;03/04/2013;31.7;21.6;25.06
83967;04/04/2013;29.4;20;23.16
83967;05/04/2013;25.4;19.3;21.54
83967;06/04/2013;28;17;22.12
83967;07/04/2013;25.4;18.3;20.24
83967;08/04/2013;24;15.8;19.48
83967;09/04/2013;23.1;17.7;20.08
83967;10/04/2013;26.5;17;21.02
83967;11/04/2013;29;18.5;23.8
83967;12/04/2013;25;18.7;20.28
83967;13/04/2013;21.9;14.8;16.88
83967;14/04/2013;20.7;9.8;14.94
83967;15/04/2013;25.2;11.5;18.86
83967;16/04/2013;21.6;13.9;17
83967;17/04/2013;23.1;13.5;16.74
83967;18/04/2013;25.2;11.3;17.34
83967;19/04/2013;26.6;12.3;18.46
83967;20/04/2013;26.7;12.2;18.5
83967;21/04/2013;26.5;16;19.64
83967;22/04/2013;27.3;14.6;19.06
83967;23/04/2013;27.6;13.7;19.66
83967;24/04/2013;27;15.6;19.7
83967;25/04/2013;28.4;14.5;20.44
83967;26/04/2013;28.8;15.6;20.84
83967;27/04/2013;28.8;16.1;21.02
83967;28/04/2013;32.1;17.1;24.04
83967;29/04/2013;25.7;19.8;22.28
83967;30/04/2013;27.3;18.1;20.32
83967;01/05/2013;23.2;16.9;19.46
83967;02/05/2013;31.7;16.6;22.72
83967;03/05/2013;28.5;19.3;22.34
83967;04/05/2013;23.4;19;19.96
83967;05/05/2013;22.1;15.1;17.72
83967;06/05/2013;20.5;12;15.04
83967;07/05/2013;18.5;12;13.92
83967;08/05/2013;20.9;7.1;12.76
83967;09/05/2013;24.6;8.7;14.82
83967;10/05/2013;28.2;8.4;16.58
83967;11/05/2013;28;11.1;18.28
83967;12/05/2013;21.6;14.2;17.28
83967;13/05/2013;24.4;14.3;18.88
83967;14/05/2013;26.5;18.2;21.7
83967;15/05/2013;23.8;15;18
83967;16/05/2013;15.2;7.5;9.78
83967;17/05/2013;17.8;5.2;10.58
83967;18/05/2013;16.8;9.5;13.36
83967;19/05/2013;18.4;14;15.8
83967;20/05/2013;21.2;15.2;17.44
83967;21/05/2013;21;14.6;16.24
83967;22/05/2013;16.6;11.1;14.16
83967;23/05/2013;21.3;13.6;16.24
83967;24/05/2013;19.8;13.4;15.72
83967;25/05/2013;21.8;13.4;15.44
83967;26/05/2013;24;12;16.76
83967;27/05/2013;25.8;12.8;17.44
83967;28/05/2013;25.6;13;18.4
83967;29/05/2013;19.7;16.2;17.52
83967;30/05/2013;18.1;9.1;12.56
83967;31/05/2013;20.3;6.7;12.74
83967;01/06/2013;15.7;10.4;13.1
83967;02/06/2013;16.4;12.1;13.66
83967;03/06/2013;19.5;11.5;13.66
83967;04/06/2013;21.5;8.2;13.86
83967;05/06/2013;25;9.6;16
