estacao;data;maxima;minima;media
83967;01/01/2014;34;23.7;27.86
83967;02/01/2014;34.4;24.8;27.84
83967;03/01/2014;25.3;19.9;21.56
83967;04/01/2014;28.2;17.5;22.62
83967;05/01/2014;31.6;17.8;25.02
83967;06/01/2014;34.4;19.5;26.06
83967;07/01/2014;36.2;22.2;29.44
83967;08/01/2014;30;23.8;25.62
83967;09/01/2014;33.3;21.3;26.4
83967;10/01/2014;31.1;21.9;24.2
83967;11/01/2014;29.4;20.1;23.88
83967;12/01/2014;28.1;20;22.9
83967;13/01/2014;29;21.6;24.44
83967;14/01/2014;31;22.1;24.64
83967;15/01/2014;28.3;21.9;24.4
83967;16/01/2014;31.2;19.2;24.96
83967;17/01/2014;34.8;19.2;26.38
83967;18/01/2014;36.4;20;27.98
83967;19/01/2014;37;21.6;29.52
83967;20/01/2014;37;23.5;29.82
83967;21/01/2014;37.3;22.3;31.04
83967;22/01/2014;37.2;25.2;30
83967;23/01/2014;37;25.1;31.48
83967;24/01/2014;37.6;26.5;29.64
83967;25/01/2014;27;20;21.72
83967;26/01/2014;26.4;19.7;23.08
83967;27/01/2014;36.3;22.7;28.92
83967;28/01/2014;37.7;24.2;29.3
83967;29/01/2014;38.2;25.1;29.66
83967;30/01/2014;37.7;24.3;28.26
83967;31/01/2014;32.6;23;26.6
83967;01/02/2014;34.2;23;26.78
83967;02/02/2014;38.2;22.6;30.62
83967;03/02/2014;37.8;22.6;29.64
83967;04/02/2014;37.8;25.2;29.9
83967;05/02/2014;39.9;24.9;32.34
83967;06/02/2014;40.6;26.6;31.72
83967;07/02/2014;39.8;27.1;33.32
83967;08/02/2014;34.8;22.6;27.34
83967;09/02/2014;38.1;22.6;29.3
83967;10/02/2014;36.8;22.6;27.08
83967;11/02/2014;37.5;22.7;29.2
83967;12/02/2014;35.6;24.2;27.48
83967;13/02/2014;25.6;20;22.32
83967;14/02/2014;25.3;18.4;21.1
83967;15/02/2014;26.3;19.2;22.54
83967;16/02/2014;27.6;18.3;22.64
83967;17/02/2014;30;19.8;24.38
83967;18/02/2014;30.3;20.2;24.82
83967;19/02/2014;32;21;25.72
83967;20/02/2014;27.5;21.5;24.02
83967;21/02/2014;33.3;21.8;27.22
83967;22/02/2014;32.4;22.6;25.44
83967;23/02/2014;30;22.1;24.48
83967;24/02/2014;32.5;21.4;26.18
83967;25/02/2014;29.2;22.2;24.84
83967;26/02/2014;23.9;21.1;22.1
83967;27/02/2014;22.5;17.8;19.62
83967;28/02/2014;26.2;17.6;20.64
83967;01/03/2014;26.8;17.4;21.54
83967;02/03/2014;27.6;17.5;22.06
83967;03/03/2014;28.6;19.4;23.38
83967;04/03/2014;29.8;19.9;24
83967;05/03/2014;28.3;20.2;24.28
83967;06/03/2014;30;20.4;24.7
83967;07/03/2014;29.4;19.9;23.5
83967;08/03/2014;25.8;19.6;22
83967;09/03/2014;29.9;18.9;23.28
83967;10/03/2014;28.4;20.2;24.46
83967;11/03/2014;27.7;20.4;23.18
83967;12/03/2014;27.6;18.8;22.38
83967;13/03/2014;28.5;20.7;23.76
83967;14/03/2014;32.4;19.2;25.14
83967;15/03/2014;27;22.9;24.34
83967;16/03/2014;31.6;21.2;25.76
83967;17/03/2014;26.8;20.9;23.76
83967;18/03/2014;25.4;20.3;21.56
83967;19/03/2014;23.9;20.2;21.68
83967;20/03/2014;26.6;19.3;22.78
83967;21/03/2014;26;21.1;22.6
83967;22/03/2014;21.9;14.7;16.6
83967;23/03/2014;24.8;11.8;17.54
83967;24/03/2014;29.2;13.7;21.06
83967;25/03/2014;29.7;17.4;22.44
83967;26/03/2014;29.1;18.8;22.66
83967;27/03/2014;29.6;20.9;24.16
83967;28/03/2014;32.4;19.5;25.36
83967;29/03/2014;34;21.8;26.36
83967;30/03/2014;31.8;22.8;25.96
83967;31/03/2014;26;22;23.12
83967;01/04/2014;27.4;21.4;23.32
83967;02/04/2014;28.4;20.9;23.82
83967;03/04/2014;28.7;20.1;23.64
83967;04/04/2014;31.4;19.2;24.46
83967;05/04/2014;32.1;18.1;25.04
83967;06/04/2014;32.2;20.4;25.52
83967;07/04/2014;30.3;22.2;24.6
83967;08/04/2014;31.3;21.8;25.12
83967;09/04/2014;28.7;21.2;23.62
83967;10/04/2014;28.4;16.7;22.1
83967;11/04/2014;26.3;21.2;22.92
83967;12/04/2014;25.5;21.1;22.48
83967;13/04/2014;21.8;12.2;16.08
83967;14/04/2014;22.6;12.5;16.36
83967;15/04/2014;24.5;13;18.42
83967;16/04/2014;28.7;14.4;20.96
83967;17/04/2014;29.7;17.2;23.7
83967;18/04/2014;28.4;21;23.16
83967;19/04/2014;23;20.4;21.14
83967;20/04/2014;25.7;18.2;20.36
83967;21/04/2014;28.3;15.2;20.94
83967;22/04/2014;22.8;18.1;19.4
83967;23/04/2014;23.1;14.2;18.5
83967;24/04/2014;22;15.8;17.44
83967;25/04/2014;22.1;12.2;15.78
83967;26/04/2014;22.4;11.7;16.12
83967;27/04/2014;24.3;14.3;18.66
