estacao;data;maxima;minima;media
83967;22/01/1982;;;
83967;03/02/1982;;;
83967;25/02/1982;;;
83967;30/03/1982;;;
83967;27/04/1982;;;
83967;08/05/1982;;;
83967;09/05/1982;;;
83967;10/05/1982;;;
83967;13/05/1982;;;
83967;14/05/1982;;;
83967;17/05/1982;;;
83967;18/05/1982;;;
83967;29/05/1982;;;
83967;04/06/1982;;;
83967;08/06/1982;;;
83967;10/06/1982;;;
83967;12/06/1982;;;
83967;14/06/1982;;;
83967;15/06/1982;;;
83967;16/06/1982;;;
83967;18/06/1982;;;
83967;19/06/1982;;;
83967;24/06/1982;;;
83967;27/06/1982;;;
83967;28/06/1982;;;
83967;29/06/1982;;;
83967;30/06/1982;;;
83967;03/07/1982;;;
83967;04/07/1982;;;
83967;12/07/1982;;;
83967;13/07/1982;;;
83967;16/07/1982;;;
83967;17/07/1982;;;
83967;20/07/1982;;;
83967;22/07/1982;;;
83967;23/07/1982;;;
83967;26/07/1982;;;
83967;28/07/1982;;;
83967;29/07/1982;;;
83967;01/08/1982;;;
83967;02/08/1982;;;
83967;04/08/1982;;;
83967;06/08/1982;;;
83967;08/08/1982;;;
83967;14/08/1982;;;
83967;15/08/1982;;;
83967;25/08/1982;;;
83967;26/08/1982;;;
83967;29/08/1982;;;
83967;30/08/1982;;;
83967;05/09/1982;;;
83967;17/09/1982;;;
83967;26/09/1982;;;
83967;27/09/1982;;;
83967;08/10/1982;;;
83967;21/10/1982;;;
83967;23/10/1982;;;
83967;30/10/1982;;;
83967;05/11/1982;;;
83967;06/11/1982;;;
83967;11/11/1982;;;
83967;15/11/1982;;;
83967;20/11/1982;;;
83967;02/12/1982;;;
83967;11/12/1982;;;
